ACCOUNTNUMBER,AGEBUCKET,AUA,AUM,AUMBUCKET,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,CLIENTCATEGORY,CLIENTCATEGORYCUSTOM,CREATEDDATE,CUSTOMERSEGMENT,DAYSSINCELASTINTERACTION,FINANCIALINTERESTS,HELDAWAY,HOUSEHOLDCOMPUTED,HOUSEHOLDSIZE,HOUSEHOLDSIZETEXT,ID,INVESTMENTEXPERIENCE,INVESTMENTOBJECTIVES,LASTINTERACTION,LASTREVIEW,LEADORCONTACTID,MARKETINGSEGMENT,NAME,NETWORTH,NETWORTHBUCKET,NEXTREVIEW,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSMALLPHOTOURL,OWNERSTATE,PHONE,PRIMARYCONTACTAGE,PRIMARYCONTACTANNUALINCOME,PRIMARYCONTACTEMAIL,PRIMARYCONTACTGENDER,RECORDTYPENAME,RELATIONSHIPSTARTDATE,REVIEWFREQUENCY,RISKTOLERANCE,ROLLUPHOUSEHOLDNAME,SAMPLEACCOUNT,SERVICEMODEL,TOTALAUMJOINTOWNER,TOTALAUMPRIMARYOWNER,TOTALFINACCTSJOINTOWNER,TOTALFINACCTSPRIMARYOWNER,TOTALFINANCIALACCOUNTS,TOTALHELDFINACCTSJOINTOWNER,TOTALHELDFINACCTSPRIMARYOWNER,TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER,WALLETSHARE,YEARSSINCECLIENT,YEARSSINCECLIENTBUCKET,LastProcessedDate
114,2. 18-29,485926.8,423042.0,1. Less than 500K,USA,32618,FL,Gold,2 - Gold,2018-12-31,Long Term Growth,514,College Planning,485926.8,,0,0,0011U00000KuFYwQAN,Moderately Inexperienced,Balanced Growth,2018-12-28,2018-12-28,0031U00000MreiBQAR,Millennials,Armand Knowles,908968.8,2. Between 500K and 2M,2019-01-30,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,291-393-6291,18,223189.0,user-114@fsc-demo.com,Female,Person Account,2009-07-13,Annually,Conservative,,false,Tier 3,0.0,423042.0,0.0,908968.8,908968.8,0.0,485926.8,5.0,0.534591286301576,9,4. Between 5 and 10 Years,2020-05-25
116,4. 50-69,516915.2,947385.0,2. Between 500K and 2M,USA,10459,NY,Silver,3 - Silver,2019-01-14,Mass Affluent,5,Fixed Income,516915.2,,0,0,0011U00000KuFYyQAN,Experienced,Growth,2020-05-20,2020-05-11,0031U00000MreiDQAR,Affluent Professionals,Lacey Snider,1464300.2,2. Between 500K and 2M,2020-06-11,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,295-626-3182,60,143672.0,user-116@fsc-demo.com,Female,Person Account,2012-04-09,Monthly,Moderate,,false,Tier 3,0.0,947385.0,0.0,1464300.2,1464300.2,0.0,516915.2,5.0,0.35301176630311193,6,4. Between 5 and 10 Years,2020-05-25
117,4. 50-69,256009.0,157098.0,1. Less than 500K,USA,96104,CA,Platinum,1 - Platinum,2019-01-28,Mass Affluent,490,Municipal Bonds,256009.0,,0,0,0011U00000KuFYzQAN,Moderately Inexperienced,Balanced Growth,2019-01-21,2019-01-10,0031U00000MreiEQAR,Retired,Sacha Mooney,413107.0,1. Less than 500K,2019-02-24,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,337-342-6174,57,195306.0,user-117@fsc-demo.com,Female,Person Account,2018-08-02,Monthly,None,,false,Tier 3,0.0,157098.0,0.0,413107.0,413107.0,0.0,256009.0,3.0,0.6197159573669776,0,1. Less than 1 year,2020-05-25
118,3. 30-49,306790.3,502759.0,2. Between 500K and 2M,USA,16210,PA,Platinum,1 - Platinum,2019-01-28,Long Term Growth,7,Technology,306790.3,,0,0,0011U00000KuFZ0QAN,Moderately Inexperienced,Income,2020-05-18,2020-05-12,0031U00000MreiFQAR,Affluent Professionals,Keaton Lang,809549.3,2. Between 500K and 2M,2020-06-19,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,398-323-7524,43,131762.0,user-118@fsc-demo.com,Female,Person Account,2014-01-03,Annually,Conservative,,false,Tier 1,0.0,502759.0,0.0,809549.3,809549.3,0.0,306790.3,3.0,0.37896432002349945,5,4. Between 5 and 10 Years,2020-05-25
120,4. 50-69,180986.5,187992.0,1. Less than 500K,USA,32618,FL,Silver,3 - Silver,2019-01-28,Mass Affluent,501,College Planning,180986.5,,0,0,0011U00000KuFZ2QAN,Experienced,Growth,2019-01-10,2019-01-05,0011U00000KulRbQAJ,High Net Worth Families,Ori Copeland,368978.5,1. Less than 500K,2019-02-15,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,344-932-4920,69,245327.0,user-120@fsc-demo.com,Male,Individual,2011-09-08,Quarterly,Moderate,,false,Tier 3,0.0,187992.0,0.0,368978.5,368978.5,0.0,180986.5,4.0,0.4905068994534912,7,4. Between 5 and 10 Years,2020-05-25
122,4. 50-69,274009.8,314930.0,1. Less than 500K,USA,16210,PA,Silver,3 - Silver,2019-02-04,Long Term Growth,480,Technology,274009.8,,0,0,0011U00000KuFZ4QAN,Inexperienced,Income,2019-01-31,2019-01-25,0031U00000MreiHQAR,Mass Market,Fitzgerald Coffey,588939.8,2. Between 500K and 2M,2019-02-20,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,253-942-4132,58,193297.0,user-122@fsc-demo.com,Male,Individual,2009-07-28,Quarterly,Moderate,,false,Tier 2,0.0,314930.0,0.0,588939.8,588939.8,0.0,274009.8,4.0,0.46525943738222475,9,4. Between 5 and 10 Years,2020-05-25
123,3. 30-49,348665.6,668560.0,2. Between 500K and 2M,USA,32530,FL,Gold,2 - Gold,2019-02-04,Mass Affluent,11,Retirement,348665.6,,0,0,0011U00000KuFZ5QAN,Moderately Experienced,Growth,2020-05-14,2020-05-06,0031U00000MreiIQAR,High Net Worth Families,Hayes Huff,1017225.6,2. Between 500K and 2M,2020-06-16,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,248-139-9092,35,145631.0,user-123@fsc-demo.com,Female,Individual,2010-11-04,Quarterly,None,,false,Tier 3,0.0,668560.0,0.0,1017225.6,1017225.6,0.0,348665.6,4.0,0.3427613304266035,8,4. Between 5 and 10 Years,2020-05-25
124,3. 30-49,305235.0,534922.0,2. Between 500K and 2M,USA,32421,FL,Platinum,1 - Platinum,2019-02-11,Long Term Growth,26,College Planning,305235.0,,0,0,0011U00000KuFZ6QAN,Moderately Inexperienced,Income,2020-04-29,2020-04-19,0031U00000MreiJQAR,High Net Worth Families,Ferdinand Jennings,840157.0,2. Between 500K and 2M,2020-05-21,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,314-279-6354,44,121255.0,user-124@fsc-demo.com,Female,Person Account,2018-06-20,Annually,Conservative,,false,Tier 1,0.0,534922.0,0.0,840157.0,840157.0,0.0,305235.0,4.0,0.36330709617369134,0,1. Less than 1 year,2020-05-25
125,4. 50-69,104025.0,28332.0,1. Less than 500K,USA,48101,MI,Gold,2 - Gold,2019-02-11,Long Term Growth,469,College Planning,104025.0,Kirk Walton,2,2,0011U00000KuFZ7QAN,Moderately Experienced,Growth,2019-02-11,2019-02-10,0011U00000KulRbQAJ,Mass Market,Kirk Walton,132357.0,1. Less than 500K,2019-03-05,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,366-893-6810,58,198255.0,user-125@fsc-demo.com,Female,Household,2018-11-14,Quarterly,None,Kirk Walton,false,Tier 1,0.0,28332.0,0.0,132357.0,132357.0,0.0,104025.0,2.0,0.7859425644280242,0,1. Less than 1 year,2020-05-25
126,1. < 18,372939.1,246344.0,1. Less than 500K,USA,10457,NY,Silver,3 - Silver,2019-02-18,Mass Affluent,485,Energy,372939.1,,0,0,0011U00000KuFZ8QAN,Moderately Experienced,Aggressive Growth,2019-01-26,2019-01-26,0011U00000KulRbQAJ,Mass Market,Wang Church,619283.1,2. Between 500K and 2M,2019-03-07,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,352-325-6333,17,168953.0,user-126@fsc-demo.com,Female,Person Account,2011-07-12,Quarterly,None,,false,Tier 1,0.0,246344.0,0.0,619283.1,619283.1,0.0,372939.1,3.0,0.6022110081802652,7,4. Between 5 and 10 Years,2020-05-25
127,3. 30-49,175623.4,154032.0,1. Less than 500K,USA,15610,PA,Silver,3 - Silver,2019-02-18,Mass Affluent,469,Municipal Bonds,175623.4,,0,0,0011U00000KuFZ9QAN,Moderately Inexperienced,Income,2019-02-11,2019-01-21,0031U00000MreiKQAR,Mass Market,Ishmael Shaw,329655.4,1. Less than 500K,2019-03-07,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,409-850-2721,40,106626.0,user-127@fsc-demo.com,Female,Individual,2009-06-06,Quarterly,Aggresive,,false,Tier 2,0.0,154032.0,0.0,329655.4,329655.4,0.0,175623.4,5.0,0.5327484397343407,9,4. Between 5 and 10 Years,2020-05-25
128,5. > 69,351371.4,635957.0,2. Between 500K and 2M,USA,61237,IL,Gold,2 - Gold,2019-02-18,Mass Affluent,8,Municipal Bonds,351371.4,,0,0,0011U00000KuFZAQA3,Moderately Inexperienced,Aggressive Growth,2020-05-17,2020-05-15,0031U00000MreiLQAR,Mass Market,Constance Gill,987328.4,2. Between 500K and 2M,2020-06-11,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,413-855-5322,72,86198.0,user-128@fsc-demo.com,Female,Person Account,2014-02-12,Monthly,Conservative,,false,Tier 2,0.0,635957.0,0.0,987328.4,987328.4,0.0,351371.4,5.0,0.3558809814444718,5,4. Between 5 and 10 Years,2020-05-25
130,2. 18-29,331662.6,308452.0,1. Less than 500K,USA,61236,IL,Platinum,1 - Platinum,2019-02-25,Mass Affluent,464,Retirement,331662.6,,0,0,0011U00000KuFZCQA3,Inexperienced,Balanced Growth,2019-02-16,2019-02-16,0031U00000MreiNQAR,Millennials,Edward Wood,640114.6,2. Between 500K and 2M,2019-03-13,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,533-220-7525,20,224897.0,user-130@fsc-demo.com,Male,Person Account,2013-10-17,Monthly,Aggresive,,false,Tier 2,0.0,308452.0,0.0,640114.6,640114.6,0.0,331662.6,4.0,0.5181300348406364,5,4. Between 5 and 10 Years,2020-05-25
131,2. 18-29,493611.5,294829.0,1. Less than 500K,USA,15310,PA,Gold,2 - Gold,2019-02-25,Mass Affluent,457,Municipal Bonds,493611.5,,0,0,0011U00000KuFZDQA3,Inexperienced,Income,2019-02-23,2019-02-09,0031U00000MreiOQAR,Affluent Professionals,Oscar Duncan,788440.5,2. Between 500K and 2M,2019-03-24,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,429-265-5172,21,237851.0,user-131@fsc-demo.com,Male,Person Account,2013-04-29,Quarterly,Moderate,,false,Tier 1,0.0,294829.0,0.0,788440.5,788440.5,0.0,493611.5,4.0,0.6260605587866174,5,4. Between 5 and 10 Years,2020-05-25
133,2. 18-29,594893.5,392813.0,1. Less than 500K,USA,61236,IL,Gold,2 - Gold,2019-02-25,Long Term Growth,465,Technology,594893.5,,0,0,0011U00000KuFZFQA3,Experienced,Growth,2019-02-15,2019-02-06,0031U00000MreiPQAR,Retired,Mohammad Diaz,987706.5,2. Between 500K and 2M,2019-03-12,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,476-483-4694,22,101093.0,user-133@fsc-demo.com,Female,Individual,2014-08-29,Annually,None,,false,Tier 1,0.0,392813.0,0.0,987706.5,987706.5,0.0,594893.5,5.0,0.602297848601786,4,3. Between 3 and 5 years,2020-05-25
136,4. 50-69,157361.3,141438.0,1. Less than 500K,USA,61238,IL,Gold,2 - Gold,2019-03-04,Long Term Growth,449,College Planning,157361.3,Knox Cote,4,4,0011U00000KuFZIQA3,Moderately Experienced,Balanced Growth,2019-03-03,2019-02-28,0031U00000MreiSQAR,Retired,Knox Cote,298799.3,1. Less than 500K,2019-04-03,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,381-875-2227,60,187308.0,user-136@fsc-demo.com,Male,Household,2010-05-31,Monthly,Moderate,Knox Cote,false,Tier 2,0.0,141438.0,0.0,298799.3,298799.3,0.0,157361.3,3.0,0.526645477415777,8,4. Between 5 and 10 Years,2020-05-25
138,5. > 69,267707.0,355996.0,1. Less than 500K,USA,96101,CA,Gold,2 - Gold,2019-03-18,Long Term Growth,35,Municipal Bonds,267707.0,,0,0,0011U00000KuFZKQA3,Moderately Inexperienced,Balanced Growth,2020-04-20,2020-04-13,0031U00000MreiTQAR,Millennials,Charissa Fulton,623703.0,2. Between 500K and 2M,2020-05-27,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,369-332-5428,75,54381.0,user-138@fsc-demo.com,Female,Individual,2016-02-03,Quarterly,Aggresive,,false,Tier 2,0.0,355996.0,0.0,623703.0,623703.0,0.0,267707.0,3.0,0.4292219213311464,3,3. Between 3 and 5 years,2020-05-25
140,2. 18-29,465475.0,118894.0,1. Less than 500K,USA,75013,TX,Platinum,1 - Platinum,2019-03-25,Long Term Growth,8,Energy,465475.0,,0,0,0011U00000KuFZMQA3,Experienced,Growth,2020-05-17,2020-04-25,0031U00000MreiUQAR,Retired,Cade Clarke,584369.0,2. Between 500K and 2M,2020-06-14,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,434-552-7201,28,239265.0,user-140@fsc-demo.com,Female,Person Account,2017-06-16,Monthly,None,,false,Tier 1,0.0,118894.0,0.0,584369.0,584369.0,0.0,465475.0,3.0,0.7965429377670615,1,2. Between 1 and 3 years,2020-05-25
141,4. 50-69,468900.3,597745.0,2. Between 500K and 2M,USA,61241,IL,Gold,2 - Gold,2019-03-25,Long Term Growth,4,Retirement,468900.3,,0,0,0011U00000KuFZNQA3,Moderately Experienced,Growth,2020-05-21,2020-05-07,0011U00000KulRbQAJ,Millennials,Justina Ross,1066645.3,2. Between 500K and 2M,2020-06-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,514-613-3382,53,196372.0,user-141@fsc-demo.com,Female,Individual,2013-12-30,Monthly,Conservative,,false,Tier 1,0.0,597745.0,0.0,1066645.3,1066645.3,0.0,468900.3,4.0,0.4396028370443295,5,4. Between 5 and 10 Years,2020-05-25
144,3. 30-49,413936.6,315748.0,1. Less than 500K,USA,96106,CA,Silver,3 - Silver,2019-03-25,Mass Affluent,452,Energy,413936.6,,0,0,0011U00000KuFZQQA3,Moderately Experienced,Aggressive Growth,2019-02-28,2019-02-23,0031U00000MreiWQAR,Affluent Professionals,Nero Cortez,729684.6,2. Between 500K and 2M,2019-04-13,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,455-688-4416,31,84215.0,user-144@fsc-demo.com,Female,Person Account,2013-06-06,Monthly,Moderate,,false,Tier 2,0.0,315748.0,0.0,729684.6,729684.6,0.0,413936.6,5.0,0.5672815350632314,5,4. Between 5 and 10 Years,2020-05-25
145,2. 18-29,442313.3,362243.0,1. Less than 500K,USA,61237,IL,Silver,3 - Silver,2019-04-01,Long Term Growth,420,Technology,442313.3,,0,0,0011U00000KuFZRQA3,Inexperienced,Growth,2019-04-01,2019-03-11,0031U00000MreiXQAR,Retired,Solomon Pearson,804556.3,2. Between 500K and 2M,2019-04-30,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,418-500-8761,21,220262.0,user-145@fsc-demo.com,Male,Person Account,2009-07-22,Monthly,Aggresive,,false,Tier 1,0.0,362243.0,0.0,804556.3,804556.3,0.0,442313.3,5.0,0.5497605326066056,9,4. Between 5 and 10 Years,2020-05-25
147,4. 50-69,278127.0,541899.0,2. Between 500K and 2M,USA,16401,PA,Platinum,1 - Platinum,2019-04-01,Long Term Growth,13,Retirement,278127.0,,0,0,0011U00000KuFZTQA3,Inexperienced,Balanced Growth,2020-05-12,2020-05-05,0031U00000MreiYQAR,High Net Worth Families,Lana Patel,820026.0,2. Between 500K and 2M,2020-06-24,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,530-496-7610,57,100152.0,user-147@fsc-demo.com,Male,Person Account,2015-02-27,Annually,Conservative,,false,Tier 2,0.0,541899.0,0.0,820026.0,820026.0,0.0,278127.0,5.0,0.3391685141690629,4,3. Between 3 and 5 years,2020-05-25
151,4. 50-69,488735.45999999996,596529.0,2. Between 500K and 2M,USA,8035,NJ,Platinum,1 - Platinum,2019-04-08,Long Term Growth,2,Municipal Bonds,488735.45999999996,,0,0,0011U00000KuFZXQA3,Moderately Experienced,Income,2020-05-23,2020-05-15,0011U00000KulRbQAJ,Retired,Hayes Marsh,1085264.46,2. Between 500K and 2M,2020-06-21,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,295-774-5519,67,124451.0,user-151@fsc-demo.com,Male,Person Account,2012-04-26,Monthly,Aggresive,,false,Tier 1,0.0,596529.0,0.0,1085264.46,1085264.46,0.0,488735.45999999996,3.0,0.4503376623979744,6,4. Between 5 and 10 Years,2020-05-25
152,4. 50-69,307380.0,97736.0,1. Less than 500K,USA,75926,TX,Gold,2 - Gold,2019-04-08,Long Term Growth,413,Energy,307380.0,,0,0,0011U00000KuFZYQA3,Moderately Inexperienced,Balanced Growth,2019-04-08,2019-04-07,0031U00000MreicQAB,High Net Worth Families,Mercedes Wynn,405116.0,1. Less than 500K,2019-05-02,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,493-479-3943,61,121700.0,user-152@fsc-demo.com,Female,Person Account,2013-10-28,Annually,Moderate,,false,Tier 1,0.0,97736.0,0.0,405116.0,405116.0,0.0,307380.0,3.0,0.7587456432231756,5,4. Between 5 and 10 Years,2020-05-25
153,3. 30-49,413930.0,526879.0,2. Between 500K and 2M,USA,8037,NJ,Platinum,1 - Platinum,2019-04-08,Mass Affluent,13,College Planning,413930.0,Beau Steele,2,2,0011U00000KuFZZQA3,Experienced,Income,2020-05-12,2020-04-27,0031U00000MreidQAB,Millennials,Beau Steele,940809.0,2. Between 500K and 2M,2020-06-22,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,247-649-8457,33,214383.0,user-153@fsc-demo.com,Male,Household,2015-09-09,Annually,Conservative,Beau Steele,false,Tier 3,0.0,526879.0,0.0,940809.0,940809.0,0.0,413930.0,4.0,0.4399724067265513,3,3. Between 3 and 5 years,2020-05-25
154,3. 30-49,254774.0,178579.0,1. Less than 500K,USA,10457,NY,Silver,3 - Silver,2019-04-08,Mass Affluent,414,College Planning,254774.0,Cecilia Copeland,2,2,0011U00000KuFZaQAN,Moderately Experienced,Growth,2019-04-07,2019-04-07,0011U00000KulRbQAJ,Affluent Professionals,Cecilia Copeland,433353.0,1. Less than 500K,2019-05-06,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,504-532-1455,37,197745.0,user-154@fsc-demo.com,Male,Household,2016-07-05,Annually,Aggresive,Cecilia Copeland,false,Tier 3,0.0,178579.0,0.0,433353.0,433353.0,0.0,254774.0,3.0,0.5879133177801931,2,2. Between 1 and 3 years,2020-05-25
155,4. 50-69,187935.4,172460.0,1. Less than 500K,USA,10453,NY,Silver,3 - Silver,2019-04-15,Long Term Growth,411,Retirement,187935.4,,0,0,0011U00000KuFZbQAN,Moderately Inexperienced,Growth,2019-04-10,2019-04-01,0011U00000KulRbQAJ,High Net Worth Families,Michael Mccarty,360395.4,1. Less than 500K,2019-05-01,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,514-649-5745,62,201570.0,user-155@fsc-demo.com,Female,Person Account,2010-11-23,Annually,None,,false,Tier 2,0.0,172460.0,0.0,360395.4,360395.4,0.0,187935.4,3.0,0.5214700298616464,8,4. Between 5 and 10 Years,2020-05-25
156,5. > 69,279959.0,204077.0,1. Less than 500K,USA,75002,TX,Platinum,1 - Platinum,2019-04-15,Mass Affluent,410,Municipal Bonds,279959.0,,0,0,0011U00000KuFZcQAN,Moderately Inexperienced,Growth,2019-04-11,2019-04-08,0011U00000KulRbQAJ,Mass Market,Zephania Kline,484036.0,1. Less than 500K,2019-05-05,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,258-677-1842,75,106642.0,user-156@fsc-demo.com,Female,Individual,2016-02-21,Monthly,Aggresive,,false,Tier 2,0.0,204077.0,0.0,484036.0,484036.0,0.0,279959.0,3.0,0.5783846656033849,3,3. Between 3 and 5 years,2020-05-25
159,2. 18-29,164112.0,248215.0,1. Less than 500K,USA,96140,CA,Gold,2 - Gold,2019-04-22,Long Term Growth,22,Retirement,164112.0,,0,0,0011U00000KuFZfQAN,Moderately Experienced,Balanced Growth,2020-05-03,2020-04-30,0011U00000KulRbQAJ,High Net Worth Families,Autumn Weiss,412327.0,1. Less than 500K,2020-06-24,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,258-730-1564,21,69463.0,user-159@fsc-demo.com,Male,Person Account,2017-12-17,Quarterly,Moderate,,false,Tier 1,0.0,248215.0,0.0,412327.0,412327.0,0.0,164112.0,2.0,0.3980141974694842,1,2. Between 1 and 3 years,2020-05-25
160,2. 18-29,177442.0,117482.0,1. Less than 500K,USA,61238,IL,Platinum,1 - Platinum,2019-04-22,Mass Affluent,400,Municipal Bonds,177442.0,,0,0,0011U00000KuFZgQAN,Moderately Experienced,Growth,2019-04-21,2019-04-15,0011U00000KulRbQAJ,Mass Market,Hall Cleveland,294924.0,1. Less than 500K,2019-05-21,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,448-944-8416,22,62661.0,user-160@fsc-demo.com,Female,Individual,2013-03-10,Annually,Aggresive,,false,Tier 1,0.0,117482.0,0.0,294924.0,294924.0,0.0,177442.0,3.0,0.6016533072927263,6,4. Between 5 and 10 Years,2020-05-25
161,3. 30-49,528637.1,819808.0,2. Between 500K and 2M,USA,15411,PA,Platinum,1 - Platinum,2019-04-29,Long Term Growth,0,Municipal Bonds,528637.1,,0,0,0011U00000KuFZhQAN,Experienced,Balanced Growth,2020-05-25,2020-05-20,0011U00000KulRbQAJ,Affluent Professionals,Thor Jefferson,1348445.1,2. Between 500K and 2M,2020-06-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,493-822-6995,43,149511.0,user-161@fsc-demo.com,Female,Individual,2014-01-19,Quarterly,None,,false,Tier 1,0.0,819808.0,0.0,1348445.1,1348445.1,0.0,528637.1,5.0,0.3920345737471996,5,4. Between 5 and 10 Years,2020-05-25
165,2. 18-29,151122.0,123962.0,1. Less than 500K,USA,8032,NJ,Gold,2 - Gold,2019-04-29,Mass Affluent,411,Municipal Bonds,151122.0,,0,0,0011U00000KuFZlQAN,Moderately Inexperienced,Balanced Growth,2019-04-10,2019-04-07,0011U00000KulRbQAJ,Retired,Abdul Pacheco,275084.0,1. Less than 500K,2019-05-25,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,418-718-9938,27,171808.0,user-165@fsc-demo.com,Male,Person Account,2017-08-30,Quarterly,Conservative,,false,Tier 2,0.0,123962.0,0.0,275084.0,275084.0,0.0,151122.0,4.0,0.5493667388870309,1,2. Between 1 and 3 years,2020-05-25
166,5. > 69,424401.0,323003.0,1. Less than 500K,USA,10456,NY,Silver,3 - Silver,2019-05-06,Mass Affluent,386,Municipal Bonds,424401.0,,0,0,0011U00000KuFZmQAN,Inexperienced,Growth,2019-05-05,2019-04-21,0011U00000KulRbQAJ,High Net Worth Families,Vladimir Pittman,747404.0,2. Between 500K and 2M,2019-06-03,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,473-149-6089,72,132585.0,user-166@fsc-demo.com,Female,Person Account,2012-06-20,Quarterly,None,,false,Tier 2,0.0,323003.0,0.0,747404.0,747404.0,0.0,424401.0,4.0,0.5678334608859466,6,4. Between 5 and 10 Years,2020-05-25
