Expected_Arrival,Company,VIP_Level,Email,Address,Propert.Last_Stay_at_Property,Ambassador,Birthday,Propert.Check_In_Date,Stay_Preferences,Salesforce_Record_ID,Reservation_ID1,Floor_Preference,Reservation_Status,id,Rate_Code,Reservation_ID,City,Travel_Alert,Check_In_Time,State,Rewards_Number,Country,Check_Out_Time,Assigned_Room,Elevator_Preference,Room_Pool,Checked_In,Market_Code,Guest_Country,Reservation_Comments,First_Name,Full_Name,Property_MARSHA,PMS_Status,Salesforce_Property_ID,Guest_UGI_ID,Last_Stay_Property,Pillow_Preference,Bed_Preference,Guest_Comments,SPG_Number,Propert.Check_Out_Date,ETA,Salesforce_Stay_ID,UGI_ID,Last_Name,Last_Stay_Date,Property_Name,Property_Visits_YTD,Projected_Stay_Value,Total_Stays_YTD,Total_Value_Lifetime,Chats,Property_Revenue_Lifetime,Rate,Total_Value_YTD,Adults,Total_Nights_YTD,Moments_Scheduled,Guest_Engagement_Score,Service_Requests,Children,Preferences,Total_Nights_Lifetime,Property_Visits_Lifetime,Nights,Property_Revenue_YTD,Upgrade_Ranking,Total_Stays_Lifetime
Later,"Cormier, Wisozk and Monahan",Silver,kkingcoteh@pbs.org,62810 Pennsylvania Road,05/21/2003,No,01/29/1955,11/06/2017,proin leo odio porttitor,003D89857204535,R32306577,High,Upcoming,14,RXILYZV,,Huntsville,No,,AL,M39447977,United States,,,Near,MQKF,No,KUMX,Czech Republic,at feugiat non pretium,Karie,Karie Kingcote,CHIJW,,a27649341354686,U95850812533198,Northern Tundra Resort & Spa,Feather,2 Queens,nisl nunc nisl duis bibendum,S12449395173,11/11/2017,,a2W777141130659,U76464758555683,Cole,05/10/2010,Amenity Hotel,0,960,18,464400,1,0,438.48,1746,1,18,0,61,0,2,34,2160,0,5,0,17,720
Next 1-3 Hours,"Murray, Bernhard and Lesch",None,pcharlini@bigcartel.com,40 Pleasure Junction,10/10/2011,No,08/08/1957,11/06/2017,luctus,003D40432685462,R99796006,Low,Upcoming,53,CZEPJAM,,Tulsa,No,,OK,M74366980,United States,,,Away From,EWTO,Yes,VNFB,Mongolia,sapien dignissim vestibulum vestibulum ante,Phillip,Phillip Charlin,CHIFD,,a27587697633164,U28766342412061,Supreme Cloak Hotel,Foam,1 King,fusce lacus purus aliquet at feugiat,S48504167882,11/07/2017,,a2W753721057259,U20472111102483,Mcdonald,12/24/2007,Supreme Cloak Hotel,0,843,3,38280,2,0,451.88,2604,1,6,1,79,0,1,40,174,0,1,0,43,87
Next 1-3 Hours,"Muller, Tromp and Hirthe",None,rthredderj@taobao.com,2774 Northland Alley,02/11/2009,No,07/15/1969,11/06/2017,pede morbi porttitor lorem,003D74022086283,R47034038,High,Upcoming,46,MWHBUIC,,Sacramento,No,,CA,M40975694,United States,,,No Preference,ZCGS,No,ORXV,China,metus vitae ipsum,Rafaelia,Rafaelia Thredder,,,a27451607132390,U05763530600047,Sunrise Chasm Resort,Foam,No Preference,pede posuere nonummy,S10234776730,11/11/2017,,a2W191174267002,U08395760254785,Griffin,07/13/2003,Brass Seashore Resort,5,795,7,107604,2,5896.25,235.85,1596,1,14,1,40,0,0,21,294,25,5,1179.25,23,98
Later,Rohan-Maggio,Gold,dmouattk@noaa.gov,05 Mallory Park,08/28/2007,No,03/26/1968,11/06/2017,ut tellus nulla ut,003D04228992086,R94961314,High,Upcoming,13,YISEMNQ,,New Haven,No,,CT,M96706897,United States,,,Away From,ZQXF,No,VUWQ,United States,nunc rhoncus dui vel sem,Dominga,Dominga Mouatt,CHIAP,,a27463273967516,U89174571058671,Pacific Blossom Resort,No Preference,2 Queens,lobortis sapien sapien,S93242473843,11/10/2017,,a2W799922236731,U99794048392325,Reyes,10/17/2006,Cinnamon Resort,7,1981,13,229320,0,45485.3,649.79,5187,2,13,2,34,1,0,15,1092,70,4,4548.53,49,364
Later,,Gold,jwanstalll@godaddy.com,67 Hagan Street,07/05/2003,No,08/31/1949,11/06/2017,nisl ut volutpat sapien,003D73581314934,R87914353,Low,Canceled,30,IWAFPTH,,Washington,No,,DC,M32794954,United States,,,Near,MLOK,No,KDYX,China,,Jard,Jard Wanstall,CHIWB,,a27929236573682,U85796690530831,Freedom Hotel,Feather,1 King,porttitor lacus,S60025577487,11/10/2017,,a2W150519380500,U02336059288771,Gomez,03/02/2009,Freedom Hotel,4,2315,18,53244,1,4625.44,289.09,17532,1,36,3,64,2,2,24,522,16,4,1156.36,55,522
Later,Walsh Inc,Gold,rbarwickm@microsoft.com,2417 Nobel Trail,11/25/2001,No,01/22/1937,11/06/2017,rutrum,003D10644170815,R65261603,Low,Upcoming,27,MCLYVPX,,Norfolk,No,,VA,M17568344,United States,,,No Preference,ZDPR,Yes,HMOX,United States,ipsum primis in faucibus,Reginauld,Reginauld Barwick,CHIAC,,a27881929693707,U80700849093736,Crescent Hotel,Foam,2 Queens,sit amet sem fusce consequat,S33452980137,11/09/2017,,a2W754651274248,U99971545387153,Ray,10/24/2012,Crescent Hotel,8,1273,7,117180,1,20752.64,324.26,9576,2,21,0,57,1,0,38,378,64,3,2594.08,25,189
Next Hour,"Schmidt, Balistreri and Nader",Gold,jmerrileesn@latimes.com,964 Montana Park,12/15/2008,No,03/20/1979,03/09/2017,"Extra towels, please",0031N00001GecWcQAJ,R45690171,High,Upcoming,1001,DNWAFYQ,R45690171,Melbourne,Yes,10:59 PM,Victoria,M21949194,Australia,7:24 AM,249,No Preference,ZHWR,No,HQWC,Australia,cras mi pede malesuada,Jasmine,Jasmine Merrilees,CHISR,Upcoming,a27j0000000gVcv,U63734000000000,Road Trip Hotel,Foam,1 King,id massa id nisl venenatis lacinia,S93170000000,03/11/2017,12:48 PM,a2W126420705414,U63828032443154,Boyle,02/05/2017,Road Trip Hotel,0,2200,13,120666,1,2006.22,334.37,4837,1,21,1,44,1,0,5,1014,6,2,1003.11,7,338
Next 1-3 Hours,Dietrich and Sons,Silver,ddixeyo@hc360.com,15 Chive Plaza,03/29/2008,No,01/10/1978,11/06/2017,in faucibus orci,003D06196630353,R21513699,High,Upcoming,43,IORHXGN,,Tampa,No,,FL,M31797576,United States,,,No Preference,DIQR,Yes,SQEF,Bolivia,turpis donec posuere,Dasya,Dasya Dixey,CHINR,,a27597694450197,U67168357080927,Saffron Emperor Resort & Spa,Foam,1 King,volutpat quam pede lobortis ligula,S42445534019,11/09/2017,,a2W479373609380,U63215711608758,Sanchez,05/09/2002,Pacific Blossom Resort,5,1749,6,22200,3,33333.3,740.74,4512,2,12,1,71,1,1,19,60,45,3,3703.7,44,60
Next 1-3 Hours,"Shanahan, Terry and Watsica",Platinum,ovalslerp@infoseek.co.jp,732 Hoffman Avenue,01/04/2017,Yes,02/01/1989,03/09/2017,Quiet room,003j000000XINoV,R45690178,No Preference,Upcoming,1002,RUNVFKA,R45690178,Fort Worth,No,2:32 PM,TX,M74902638,United States,7:35 AM,2714,Away From,FWCE,No,SQVT,United States,lacinia eget,Oates,Oates Valsler,CHISR,Upcoming,a27j0000000gVcv,U18832000000000,Crown Dream Resort,No Preference,No Preference,ullamcorper augue a suscipit nulla elit,S4655795139,03/11/2017,,a2W126420705927,U86140800565008,Muldone,09/04/2016,Crown Dream Resort,3,480,4,91436,0,3195.3,275,2516,1,13,2,91,2,0,16,874,12,4,1597.65,1,421
Later,,Platinum,bdeddumq@vkontakte.ru,17 Old Gate Center,03/03/2007,No,06/06/1934,11/06/2017,dolor quis,003D32652051992,R42630446,No Preference,Upcoming,48,FVDNRHP,,Wilmington,No,,NC,M77694799,United States,,,Near,WLUK,No,IGVR,China,,Bennett,Bennett Deddum,CHIRZ,,a27441697756768,U09915538939898,Asylum Hotel,Foam,1 King,ridiculus mus,S35346991039,11/12/2017,,a2W287335774407,U98750855940516,Kelley,06/15/2001,Muse Motel,2,3082,4,19844,2,4402.68,733.78,880,2,8,0,73,0,0,5,44,6,6,1467.56,3,44
Next 1-3 Hours,,Platinum,kheissr@1und1.de,03 Scott Hill,04/19/2014,No,08/24/1993,11/06/2017,ultrices libero non,003D42463013628,R71884988,Low,Upcoming,41,ITPURGA,,Jamaica,No,,NY,M13368776,United States,,,Near,VTOB,No,JBNK,Indonesia,,Kristel,Kristel Heiss,CHIRN,,a27645283927147,U41314412426013,Autumn Courtyard Resort & Spa,No Preference,1 King,at diam nam,S89826030726,11/09/2017,,a2W163595670859,U40410061469932,Carter,05/15/2016,Marina Estate Resort,3,2377,7,241920,3,559.95,186.65,5740,2,14,0,40,0,0,24,840,3,3,559.95,15,280
Next 1-3 Hours,,Platinum,dmylchreests@addthis.com,5 Warbler Trail,02/14/2010,No,07/24/1985,11/06/2017,nulla sed accumsan felis,003D70312072719,R80303108,No Preference,Canceled,49,DQRPCLX,,Omaha,No,,NE,M64912649,United States,,,Near,ODZA,No,YCLP,France,,Dominga,Dominga Mylchreest,CHIAC,,a27239121177069,U21787914448349,Diamond Hotel & Spa,No Preference,No Preference,hendrerit at vulputate vitae,S70799351073,11/08/2017,,a2W916044320533,U61569611010709,Taylor,02/27/2006,Celestial Hotel,1,1862,5,76950,2,1167.87,389.29,3555,1,15,0,94,2,2,4,270,3,2,389.29,4,90
Later,,Gold,rmacnallyt@mashable.com,6 Erie Plaza,11/19/2015,No,04/12/1964,11/06/2017,felis,003D31243119285,R12869862,High,Canceled,12,LEHQNCJ,,Mountain View,Yes,,CA,M41544670,United States,,,Away From,ENDX,No,ODKM,Indonesia,,Rafaelita,Rafaelita MacNally,CHIDT,,a27227651953855,U38248325815958,Southern Cove Hotel & Spa,No Preference,1 King,felis donec semper sapien a libero,S45849176543,11/10/2017,,a2W838407784956,U10363441072639,Woods,11/04/2004,Diorama Hotel & Spa,3,2197,19,296742,2,4529.52,167.76,13110,1,57,2,63,1,1,5,1083,27,4,503.28,18,361
Next 1-3 Hours,Heidenreich Inc,Gold,jsharpinu@auda.org.au,65742 Schmedeman Hill,07/01/2005,No,01/18/1982,11/06/2017,nunc purus phasellus in,003D41120843044,R56569729,No Preference,Upcoming,37,VCEGYFL,,Tacoma,Yes,,WA,M28726308,United States,,,No Preference,PFNL,No,HCNP,Philippines,sem fusce consequat,Jennica,Jennica Sharpin,CHIRH,,a27056928924718,U93390026836363,Celestial Hotel & Spa,Feather,2 Queens,vitae mattis nibh ligula nec sem,S56727640253,11/08/2017,,a2W459445320508,U67864563582724,Torres,08/26/2011,Grandiose Raven Hotel,8,2439,6,28872,1,13932.48,580.52,2394,1,18,0,96,1,1,19,72,24,2,4644.16,48,36
Later,"Weissnat, Heidenreich and McLaughlin",Gold,blilloev@cbc.ca,51 Maywood Center,10/24/2015,No,09/09/1956,11/06/2017,sed sagittis nam,003D35110010273,R17896924,No Preference,Upcoming,4,XRKFYJE,,Aurora,No,,CO,M98996759,United States,,,Near,CKVN,No,MWGJ,Russia,diam vitae,Brewer,Brewer Lilloe,CHIRZ,,a27403156221218,U71827810945767,Onyx Beach Hotel,Foam,No Preference,in tempus sit,S39881381121,11/07/2017,,a2W761809883416,U11673957454666,Dean,10/11/2015,Onyx Beach Hotel,7,2327,1,640,0,37212.56,664.51,1434,1,3,0,84,0,0,27,2,56,1,4651.57,61,1
Later,Bayer-Shields,Gold,cdenmeadw@bloomberg.com,93880 Fisk Parkway,05/04/2002,No,12/11/1986,11/06/2017,nulla elit,003D55177367733,R94658954,No Preference,Upcoming,7,ZELWSRB,,Baltimore,No,,MD,M17884831,United States,,,Near,JYOA,Yes,LURI,Philippines,dolor quis odio consequat varius integer,Corrie,Corrie Denmead,CHIMM,,a27779217588962,U80517336378895,Sunway Hotel,Foam,1 King,lacus morbi sem mauris,S85847469785,11/09/2017,,a2W775502023730,U18641295734681,Turner,11/09/2004,Sunway Hotel,2,2866,17,577728,1,9741.2,695.8,5712,1,34,1,78,0,0,0,1632,14,3,1391.6,28,544
Later,,Gold,fubanksx@ucla.edu,4028 Waubesa Place,05/02/2002,No,11/12/1983,11/06/2017,vestibulum ante ipsum primis,003D88915961133,R27453164,No Preference,Canceled,9,AYESZWC,,Tacoma,No,,WA,M10583169,United States,,,Away From,EMCK,No,BPAF,Japan,,Felike,Felike Ubanks,CHIFD,,a27857410593149,U96622062511069,Monsoon Motel,Feather,No Preference,sagittis sapien,S36533890918,11/10/2017,,a2W452834585200,U07859268726602,Sims,05/15/2014,Crown Lagoon Hotel & Spa,4,5029,14,204120,0,18642.96,665.82,5796,1,28,1,42,0,0,26,504,28,4,2663.28,21,504
Next Hour,,Silver,pspantony@cornell.edu,402 Fisk Terrace,04/04/2014,No,06/29/1951,11/06/2017,non sodales,003D60075779336,R98932456,No Preference,Upcoming,8,ZBTSPNL,,Peoria,No,,IL,M12240994,United States,,,Near,IRQO,No,MAJD,France,,Paloma,Paloma Spanton,CHIWB,,a27371927927662,U80922562414241,Leisure Hotel,Foam,1 King,dapibus augue vel,S34003934604,11/09/2017,,a2W284562214948,U02280031743563,Reyes,01/31/2017,Leisure Hotel,3,299,1,3720,1,7512.54,357.74,372,2,3,1,82,0,1,32,24,21,3,1073.22,57,8
Next 1-3 Hours,Langosh-Bosco,Platinum,bmaillardz@mac.com,1033 Di Loreto Pass,02/17/2006,No,05/02/1968,11/06/2017,quisque porta volutpat,003D79710651206,R46457299,No Preference,Upcoming,18,SPTDULF,,Winston Salem,No,,NC,M75419448,United States,,,Away From,EYRG,No,WOLU,Indonesia,posuere nonummy integer non velit,Bentley,Bentley Maillard,CHIRD,,a27403603901968,U62620500310841,Muse Motel,Feather,2 Queens,eros suspendisse accumsan,S25644455608,11/08/2017,,a2W894026161155,U70782465298524,Berry,07/14/2002,Silver Phoenix Hotel & Spa,2,3946,11,62436,1,12146.8,607.34,14751,1,33,2,46,1,0,12,242,20,2,1214.68,10,121
Next 1-3 Hours,Jast-Wolf,Platinum,elinnane10@hibu.com,43 Jenifer Parkway,08/14/2011,No,07/05/1942,11/06/2017,augue a,003D56536156581,R47910170,High,Upcoming,29,IGKEUFY,,Kansas City,No,,MO,M22759508,United States,,,Near,XPSR,No,PCQZ,Lithuania,in sapien iaculis congue vivamus metus,Emiline,Emiline Linnane,CHIMM,,a27450031014640,U36946854818665,Stellar Hotel,Feather,2 Queens,sit amet consectetuer adipiscing elit proin,S42073379245,11/07/2017,,a2W862098318022,U91561239936047,Martinez,01/05/2009,Stellar Hotel,5,1674,4,64560,3,28383.3,630.74,1064,2,8,0,79,3,0,40,240,45,1,3153.7,13,80
Later,,Silver,wpoacher11@wikipedia.org,25 Brown Point,02/23/2002,No,03/27/1947,11/06/2017,tristique in,003D66223558266,R07902151,Low,Upcoming,57,QTIYNSH,,Saint Louis,No,,MO,M96016624,United States,,,Near,ZGJB,No,JMQL,China,,Wrennie,Wrennie Poacher,CHIAP,,a27889031558540,U75150592025717,Cosmos Motel,Feather,1 King,varius ut blandit non interdum,S57566467600,11/09/2017,,a2W345477746614,U44697306809329,Ramos,07/12/2014,Cosmos Motel,7,2845,17,142324,1,30895.2,735.6,9537,2,51,0,84,1,1,47,442,42,3,5149.2,29,221
Later,"Sipes, Bradtke and Grimes",Platinum,bzambonini12@phpbb.com,26469 Glendale Court,01/28/2013,No,07/15/1968,11/06/2017,in lacus,003D52392843583,R62773857,Low,Upcoming,17,GVSMHLQ,,Lubbock,No,,TX,M68348195,United States,,,Away From,AIDR,No,IEAZ,China,vehicula condimentum curabitur in libero ut,Fayette,Clipston,CHIBR,,a27282999950083,U54396018921372,Windmill Hotel & Spa,Feather,No Preference,a pede posuere nonummy,S12136330391,11/07/2017,,a2W880580052076,U52146144811994,Taylor,08/13/2011,Saffron Emperor Resort & Spa,2,1029,4,3896,0,8645.76,480.32,736,2,4,0,85,3,1,35,8,18,1,960.64,9,8
