OperationalDrivers,ClaimsBucket,PreviousRenewalDate,NameInsuredId,Status,TypePrediction,LastProcessedDate,RenewalChannel,RenewalDate,Type,IsRenewedPolicy,ExpirationDate,EffectiveDate,PremiumAmount,Passive,RenewalRate,Rating,Name,NPS,Promoter,Detractor,OwnerId,MyContactCenterNPS,PredictedDistribution,CustomerEngagement,NumberOfClaims,Commit,BestCase,GrossWrittenPremium,ValuePrediction,NPS_All_Contact_Centers,TotalStandardAmount
Agent Comunication,0 - 1 Claims,,John,For Renewal,Period,2021-04-26,,2022-07-06,New Business,FALSE,2022-07-07,2021-07-07,23000,58,65,7.2,5057762447788,41,95,12,1234567,40,95,16,1,,70.2,540000,9,42,86000
Wait Time,0 - 1 Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-01-05,Existing Business,FALSE,2022-01-06,2021-01-06,41000,,88,8.1,18812508925500,43,,,1234567,40,55,19,1,,,564000,6,42,77000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-04-19,Services,FALSE,2022-04-20,2021-04-20,14000,,88,7.2,6921005767882,39,,,1234567,37,58,17,3,88,,989000,18,39,38000
Agent Comunication,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2021-11-06,Existing Business,FALSE,2021-11-07,2020-11-07,33000,,80,7.8,15129951655896,41,,,1234567,39,75,18,2,,,992000,9,41,75000
Agent Experience,4 - 5 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-02-05,New Business,FALSE,2022-02-06,2021-02-06,39000,,90,6.7,2316688273832,43,,,1234567,38,70,18,4,,,890000,23,42,47000
Wait Time,2 - 3 Claims,,Mary,Not Renewed,Amount,2021-04-26,,2022-03-23,New Business,FALSE,2022-03-24,2021-03-24,24000,,88,8.4,13317729921767,43,,,1234567,38,75,15,3,,,562000,6,42,14000
Agent Experience,2 - 3 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-06-14,Existing Business,FALSE,2022-06-15,2021-06-15,97000,58,74,8.6,3392717402779,43.5,90,25,1234567,37,70,18,3,67.34,79.92,414000,18,43,69000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,NPS,2021-04-26,,2021-12-26,Services,FALSE,2021-12-27,2020-12-27,61000,,85,7.8,4871224731133,43.5,,,1234567,41,15,16,2,,,985000,32,43,96000
Agent Comunication,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-11-06,Existing Business,FALSE,2021-11-07,2020-11-07,44000,,80,7.8,16924066050746,41,,,1234567,39,12,19,2,,,892000,18,41,69000
Employee Satisfaction,2 - 3 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-05-27,New Business,FALSE,2022-05-28,2021-05-28,42000,55,79,8.4,16544332823271,39,95,15,1234567,38,75,20,2,71.89,85.32,668000,9,42,18000
Agent Experience,2 - 3 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-03-24,Services,FALSE,2022-03-25,2021-03-25,98000,,88,6.5,12829086231927,43,,,1234567,38,95,17,2,,,435000,6,42,77000
Agent Comunication,6 or More Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-06-09,Existing Business,FALSE,2022-06-10,2021-06-10,34000,58,74,7,16495740463115,43,90,25,1234567,41,25,20,7,67.34,,977000,23,41,68000
Wait Time,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2021-10-19,New Business,FALSE,2021-10-20,2020-10-20,32000,,88,6.5,17719529652207,41,,,1234567,39,58,18,3,,,552000,32,39,90000
Agent Comunication,4 - 5 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-07-17,Services,FALSE,2022-07-18,2021-07-18,72000,58,65,8.5,8388937048836,41,95,12,1234567,37,58,20,4,,,580000,32,41,13000
Employee Satisfaction,0 - 1 Claims,,John,Not Renewed,Amount,2021-04-26,,2022-01-06,Services,FALSE,2022-01-07,2021-01-07,47000,,88,7.8,6811878124615,43,,,1234567,40,25,20,1,,,945000,6,42,49000
Wait Time,0 - 1 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2021-11-21,New Business,FALSE,2021-11-22,2020-11-22,22000,,80,8.2,7858106130456,41,,,1234567,39,55,19,1,,,688000,23,41,17000
Agent Experience,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-07-04,Existing Business,FALSE,2022-07-05,2021-07-05,66000,58,65,8.1,18184911472293,39,95,12,1234567,41,75,17,2,59.15,70.2,715000,18,39,28000
Agent Comunication,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-02-25,Services,FALSE,2022-02-26,2021-02-26,91000,,90,7.4,16970353858734,43,,,1234567,38,95,20,1,,,833000,9,42,33000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2021-10-02,New Business,FALSE,2021-10-03,2020-10-03,24000,,90,7.1,17088010236686,43.5,,,1234567,38,75,15,2,,,507000,18,42,75000
Wait Time,4 - 5 Claims,,Brian,For Renewal,NPS,2021-04-26,,2022-01-17,Existing Business,FALSE,2022-01-18,2021-01-18,83000,,88,8.1,942501960574,43,,,1234567,40,12,16,4,,,652000,32,42,84000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-04-07,Existing Business,FALSE,2022-04-08,2021-04-08,46000,,88,7.2,19590055646364,39,,,1234567,37,58,20,2,,88,750000,9,39,84000
Agent Experience,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-05-23,New Business,FALSE,2022-05-24,2021-05-24,32000,55,79,8.2,7662660847177,43,95,15,1234567,40,75,19,3,,85.32,506000,23,43,17000
Employee Satisfaction,6 or More Claims,,Mary,Not Renewed,Amount,2021-04-26,,2022-06-10,Services,FALSE,2022-06-11,2021-06-11,57000,58,74,6.7,13256272966177,39,90,25,1234567,39,25,18,6,67.34,,516000,6,42,70000
Wait Time,4 - 5 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-04-29,Services,FALSE,2022-04-30,2021-04-30,12000,,88,8.6,18346777511535,39,,,1234567,37,55,16,5,88,,522000,6,39,17000
Agent Comunication,6 or More Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-12-18,New Business,FALSE,2021-12-19,2020-12-19,34000,,85,7.6,10171272122638,43.5,,,1234567,41,25,20,7,,,721000,32,43,77000
Agent Experience,2 - 3 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-07-01,Existing Business,FALSE,2022-07-02,2021-07-02,93000,58,65,8.5,1196111715342,43.5,95,12,1234567,39,75,15,2,,,976000,18,43,27000
Agent Comunication,4 - 5 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2021-12-31,Existing Business,FALSE,2022-01-01,2021-01-01,40000,,88,7.6,17054714197781,43,,,1234567,40,70,17,5,,,945000,23,42,84000
Wait Time,0 - 1 Claims,,Brian,For Renewal,Period,2021-04-26,,2021-11-28,New Business,FALSE,2021-11-29,2020-11-29,58000,,80,8.2,18848895990381,41,,,1234567,39,15,15,1,,,559000,9,41,65000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,Amount,2021-04-26,,2021-12-23,Services,FALSE,2021-12-24,2020-12-24,17000,,85,7.8,11866517622092,43.5,,,1234567,41,75,18,2,,,788000,6,43,75000
Wait Time,2 - 3 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-02-11,New Business,FALSE,2022-02-12,2021-02-12,30000,,90,8.5,5830318021285,43,,,1234567,38,70,16,3,,,839000,32,42,94000
Agent Comunication,4 - 5 Claims,,John,For Renewal,Period,2021-04-26,,2022-06-12,Existing Business,FALSE,2022-06-13,2021-06-13,73000,58,74,7.1,18928091588387,43,90,25,1234567,38,58,16,4,67.34,,766000,9,41,71000
Employee Satisfaction,4 - 5 Claims,,Carl,Not Renewed,NumberOfClaims,2021-04-26,,2022-03-06,Services,FALSE,2022-03-07,2021-03-07,48000,,88,7.4,15724819606055,43,,,1234567,38,95,18,5,,,679000,23,42,61000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2021-10-14,New Business,FALSE,2021-10-15,2020-10-15,95000,,74,7.2,2353154270531,41,,,1234567,37,12,16,1,,,744000,18,39,18000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-05-06,Services,FALSE,2022-05-07,2021-05-07,45000,55,79,7,16260723747440,39,95,15,1234567,40,75,19,2,71.89,,963000,6,43,33000
Agent Comunication,0 - 1 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-07-07,Existing Business,FALSE,2022-07-08,2021-07-08,90000,58,65,8.1,12617314600526,43.5,95,12,1234567,41,95,18,1,,70.2,878000,32,42,75000
Wait Time,4 - 5 Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2021-10-06,New Business,FALSE,2021-10-07,2020-10-07,39000,,79,6.9,6036992999474,43,,,1234567,41,58,18,4,,,634000,18,39,67000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-04-03,Services,FALSE,2022-04-04,2021-04-04,21000,,88,6.3,3785901889256,39,,,1234567,37,25,16,1,88,,516000,9,39,91000
Employee Satisfaction,0 - 1 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-03-03,Existing Business,FALSE,2022-03-04,2021-03-04,90000,,88,7.4,10367093299793,43,,,1234567,38,55,20,1,,,985000,23,42,13000
Wait Time,4 - 5 Claims,,Carl,For Renewal,NPS,2021-04-26,,2022-01-17,Existing Business,FALSE,2022-01-18,2021-01-18,45000,,88,8.1,17914890157543,43,,,1234567,40,15,19,5,,,854000,32,42,67000
Agent Comunication,0 - 1 Claims,,John,Not Renewed,Amount,2021-04-26,,2022-03-14,Services,FALSE,2022-03-15,2021-03-15,89000,,88,7.1,9644968007119,43,,,1234567,38,75,15,1,,,751000,6,42,21000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,Period,2021-04-26,,2021-11-02,New Business,FALSE,2021-11-03,2020-11-03,49000,,80,7,1705895517237,41,,,1234567,39,95,17,2,,,781000,9,41,13000
Employee Satisfaction,0 - 1 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2021-12-15,Services,FALSE,2021-12-16,2020-12-16,89000,,85,7.8,17403612365054,43.5,,,1234567,41,12,20,1,,,752000,18,43,94000
Wait Time,6 or More Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-06-08,New Business,FALSE,2022-06-09,2021-06-09,22000,58,74,8.2,428940288835,41,90,25,1234567,37,25,18,7,,79.92,754000,23,41,92000
Agent Comunication,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-05-17,Existing Business,FALSE,2022-05-18,2021-05-18,99000,55,79,6.5,1707854848121,41,95,15,1234567,40,75,19,2,71.89,85.32,681000,32,39,25000
Agent Experience,4 - 5 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-04-11,New Business,FALSE,2022-04-12,2021-04-12,57000,,88,6.3,3956140276207,39,,,1234567,37,55,15,4,88,88,623000,23,39,96000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2021-11-14,Existing Business,FALSE,2021-11-15,2020-11-15,96000,,80,7,7676438765874,41,,,1234567,39,58,18,1,,,613000,9,41,79000
Employee Satisfaction,4 - 5 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-12-28,Services,FALSE,2021-12-29,2020-12-29,75000,,85,7.8,13155867444710,43.5,,,1234567,41,70,18,4,,,800000,18,43,34000
Agent Comunication,2 - 3 Claims,,Mary,Not Renewed,Amount,2021-04-26,,2022-07-19,New Business,FALSE,2022-07-20,2021-07-20,74000,58,65,7.6,20124284410091,43.5,95,12,1234567,38,75,15,3,,,722000,6,43,68000
Wait Time,0 - 1 Claims,,Mary,For Renewal,Amount,2021-04-26,,2021-10-30,Existing Business,FALSE,2021-10-31,2020-10-31,21000,,85,7.5,19767890649742,39,,,1234567,39,15,16,1,,,789000,6,42,15000
Agent Comunication,6 or More Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-02-12,Services,FALSE,2022-02-13,2021-02-13,33000,,90,7.4,1958494924353,43,,,1234567,38,25,20,6,,,670000,18,42,67000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-01-09,New Business,FALSE,2022-01-10,2021-01-10,17000,,88,6.9,4222794573512,43,,,1234567,40,15,17,3,,,554000,32,42,44000
Wait Time,4 - 5 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-04-03,Existing Business,FALSE,2022-04-04,2021-04-04,63000,,88,8.6,17157835063171,39,,,1234567,37,58,16,4,88,88,943000,9,39,10000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-03-07,Services,FALSE,2022-03-08,2021-03-08,46000,,88,7.4,6778160543392,43,,,1234567,38,25,15,3,,,501000,23,42,26000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-06-10,Services,FALSE,2022-06-11,2021-06-11,17000,58,74,8.4,17773877716525,43,90,25,1234567,40,70,15,2,,79.92,769000,9,41,44000
Agent Comunication,0 - 1 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-05-29,Existing Business,FALSE,2022-05-30,2021-05-30,30000,55,79,7.8,476124178588,43.5,95,15,1234567,37,95,17,1,71.89,,640000,6,42,73000
Agent Experience,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-01-07,New Business,FALSE,2022-01-08,2021-01-08,93000,,88,6.9,12606228960848,43,,,1234567,40,75,20,2,,,951000,23,42,78000
Wait Time,2 - 3 Claims,,Brian,Not Renewed,NPS,2021-04-26,,2022-02-16,Existing Business,FALSE,2022-02-17,2021-02-17,38000,,90,8.5,15144108786335,43,,,1234567,38,12,15,3,,,812000,32,42,25000
Employee Satisfaction,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-07-03,New Business,FALSE,2022-07-04,2021-07-04,57000,58,65,8.6,12667353793050,39,95,12,1234567,39,95,16,1,59.15,,834000,18,43,33000
Agent Experience,4 - 5 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2021-12-11,Services,FALSE,2021-12-12,2020-12-12,64000,,85,6.9,14110789866119,43.5,,,1234567,41,70,17,4,,,778000,23,43,84000
Agent Comunication,4 - 5 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-09-30,Existing Business,FALSE,2021-10-01,2020-10-01,85000,,80,7.2,14883787711779,43,,,1234567,38,55,20,5,,,904000,18,41,42000
Wait Time,6 or More Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-11-04,New Business,FALSE,2021-11-05,2020-11-05,59000,,80,8.2,441748053406,41,,,1234567,39,95,17,6,,,744000,32,41,81000
Agent Experience,4 - 5 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-05-21,Services,FALSE,2022-05-22,2021-05-22,50000,55,79,7.4,3893415423906,41,95,15,1234567,41,55,17,4,71.89,85.32,640000,6,39,27000
Wait Time,6 or More Claims,,Steven,For Renewal,Period,2021-04-26,,2022-02-16,New Business,FALSE,2022-02-17,2021-02-17,85000,,90,8.5,6972945715465,43,,,1234567,38,95,20,7,,,746000,9,42,17000
Employee Satisfaction,0 - 1 Claims,,Mary,For Renewal,Period,2021-04-26,,2022-06-15,Services,FALSE,2022-06-16,2021-06-16,56000,58,74,6.3,3388172785824,43,90,25,1234567,40,95,19,1,67.34,79.92,474000,9,42,90000
Agent Comunication,4 - 5 Claims,,John,Not Renewed,NumberOfClaims,2021-04-26,,2022-03-09,Existing Business,FALSE,2022-03-10,2021-03-10,96000,,88,7.1,10034944629359,43,,,1234567,38,75,16,4,,,706000,23,42,79000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,NPS,2021-04-26,,2021-11-28,Services,FALSE,2021-11-29,2020-11-29,58000,,80,8.2,5988603718512,41,,,1234567,39,58,19,3,,,524000,32,41,54000
Agent Comunication,0 - 1 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-07-07,New Business,FALSE,2022-07-08,2021-07-08,60000,58,65,8.6,16363230040063,41,95,12,1234567,41,95,18,1,59.15,,806000,6,43,41000
Wait Time,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-02-23,Existing Business,FALSE,2022-02-24,2021-02-24,49000,,90,8.5,18182417719242,43,,,1234567,38,70,17,2,,,926000,18,42,23000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-01-27,Existing Business,FALSE,2022-01-28,2021-01-28,58000,,88,6.9,16022205223107,43,,,1234567,40,55,16,2,,,510000,6,42,79000
Wait Time,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-04-22,Services,FALSE,2022-04-23,2021-04-23,58000,,88,8.6,4721740926413,39,,,1234567,37,12,16,3,88,,533000,32,39,87000
Employee Satisfaction,2 - 3 Claims,,Mary,For Renewal,Period,2021-04-26,,2021-10-25,New Business,FALSE,2021-10-26,2020-10-26,30000,,65,8.2,4603366012468,43.5,,,1234567,37,15,19,3,,,704000,9,41,87000
Agent Experience,6 or More Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-03-31,New Business,FALSE,2022-04-01,2021-04-01,70000,,88,6.3,1599845417059,39,,,1234567,37,25,20,7,,,657000,23,39,47000
Agent Comunication,4 - 5 Claims,,Carl,Not Renewed,TimeToResolve,2021-04-26,,2022-05-28,Existing Business,FALSE,2022-05-29,2021-05-29,92000,55,79,6.7,4581559855636,39,95,15,1234567,38,55,16,4,,,932000,18,39,96000
Wait Time,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2021-12-04,Services,FALSE,2021-12-05,2020-12-05,40000,,85,8.1,15666625548372,43.5,,,1234567,41,58,17,2,,,542000,9,43,23000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-03-14,Services,FALSE,2022-03-15,2021-03-15,84000,,88,6.5,5573736616509,43,,,1234567,38,55,19,2,,,521000,23,42,19000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-01-18,Existing Business,FALSE,2022-01-19,2021-01-19,81000,,88,7.8,304875340310,43,,,1234567,40,25,16,2,,,618000,6,42,77000
Agent Comunication,0 - 1 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-07-06,New Business,FALSE,2022-07-07,2021-07-07,66000,58,65,7.2,12849013353084,41,95,12,1234567,39,95,19,1,59.15,70.2,769000,32,43,87000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-02-09,Services,FALSE,2022-02-10,2021-02-10,96000,,90,7.4,1896417095310,43,,,1234567,38,15,19,1,,,819000,18,42,49000
Wait Time,6 or More Claims,,Brian,For Renewal,NPS,2021-04-26,,2021-10-30,Existing Business,FALSE,2021-10-31,2020-10-31,14000,,85,6.9,16501780537359,43.5,,,1234567,38,75,20,6,,,770000,32,39,81000
Agent Experience,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2021-12-02,New Business,FALSE,2021-12-03,2020-12-03,91000,,85,6.9,873368411664,43.5,,,1234567,41,95,16,2,,,525000,9,43,60000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2021-11-20,Services,FALSE,2021-11-21,2020-11-21,39000,,80,8.2,9096134932722,41,,,1234567,39,70,18,3,,,567000,6,41,14000
Employee Satisfaction,4 - 5 Claims,,Mary,Not Renewed,NumberOfClaims,2021-04-26,,2022-05-26,New Business,FALSE,2022-05-27,2021-05-27,50000,55,79,7.2,14550121887270,43,95,15,1234567,37,55,20,4,71.89,,987000,23,42,75000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-03-28,Existing Business,FALSE,2022-03-29,2021-03-29,19000,,88,6.5,5831667995658,43,,,1234567,38,12,17,1,,,648000,18,42,97000
Wait Time,6 or More Claims,,Mary,For Renewal,Period,2021-04-26,,2022-07-21,New Business,FALSE,2022-07-22,2021-07-22,73000,58,65,6.3,18674033408271,39,95,12,1234567,41,12,17,7,,,826000,9,41,65000
Agent Comunication,0 - 1 Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-04-24,Existing Business,FALSE,2022-04-25,2021-04-25,31000,,88,7.1,17332916596889,39,,,1234567,37,55,20,1,,,824000,32,39,70000
Agent Experience,0 - 1 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-12-25,Services,FALSE,2021-12-26,2020-12-26,78000,,85,6.9,1657108086912,43.5,,,1234567,41,15,15,1,,,886000,18,43,21000
Agent Comunication,2 - 3 Claims,,John,For Renewal,Amount,2021-04-26,,2021-10-27,New Business,FALSE,2021-10-28,2020-10-28,31000,,80,8.4,9964929645866,43.5,,,1234567,40,70,18,2,,,899000,6,42,26000
Employee Satisfaction,0 - 1 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-01-17,Existing Business,FALSE,2022-01-18,2021-01-18,51000,,88,7.8,19715604987848,43,,,1234567,40,75,16,1,,,914000,23,42,97000
Wait Time,4 - 5 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-06-29,Services,FALSE,2022-06-30,2021-06-30,100000,58,74,8.1,414236114462,41,90,25,1234567,39,58,15,5,,79.92,541000,9,43,87000
Employee Satisfaction,6 or More Claims,,Steven,Not Renewed,NumberOfClaims,2021-04-26,,2022-02-20,Services,FALSE,2022-02-21,2021-02-21,91000,,90,7.5,16989220913096,43,,,1234567,38,25,20,7,,,740000,23,42,28000
Agent Experience,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-03-12,New Business,FALSE,2022-03-13,2021-03-13,68000,,88,6.5,20059879523473,43,,,1234567,38,95,15,2,,,721000,32,42,80000
Agent Comunication,4 - 5 Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-04-30,Existing Business,FALSE,2022-05-01,2021-05-01,89000,55,79,7.4,16460033513482,43,95,15,1234567,39,55,16,4,,,677000,6,39,10000
Wait Time,6 or More Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-04-09,Existing Business,FALSE,2022-04-10,2021-04-10,72000,,88,8.6,495121946508,39,,,1234567,37,58,15,6,,,632000,18,39,16000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2021-11-03,New Business,FALSE,2021-11-04,2020-11-04,100000,,80,7.8,18880573667640,41,,,1234567,39,12,18,2,,,900000,6,41,86000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2022-05-31,Services,FALSE,2022-06-01,2021-06-01,93000,58,74,7.8,11958921410482,39,90,25,1234567,40,70,19,2,67.34,79.92,697000,18,41,55000
Agent Experience,0 - 1 Claims,,Mary,For Renewal,Period,2021-04-26,,2021-12-25,New Business,FALSE,2021-12-26,2020-12-26,13000,,85,6.9,19334778551255,43.5,,,1234567,41,15,20,1,,,405000,9,43,99000
Wait Time,4 - 5 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-01-17,Existing Business,FALSE,2022-01-18,2021-01-18,68000,,88,8.1,15535668813493,43,,,1234567,40,95,19,4,,,812000,23,42,34000
Agent Comunication,2 - 3 Claims,,Brian,Not Renewed,NPS,2021-04-26,,2022-02-20,Services,FALSE,2022-02-21,2021-02-21,55000,,90,7.4,9144525487504,43,,,1234567,38,58,19,3,,,675000,32,42,98000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-07-15,Services,FALSE,2022-07-16,2021-07-16,66000,58,65,8.5,10533985960372,39,95,12,1234567,41,75,17,2,,70.2,594000,32,43,30000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,Period,2021-04-26,,2021-10-25,New Business,FALSE,2021-10-26,2020-10-26,43000,,88,7,14753406297226,43,,,1234567,37,70,19,3,,,910000,9,41,28000
Wait Time,2 - 3 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-03-16,Existing Business,FALSE,2022-03-17,2021-03-17,92000,,88,8.4,16202861591287,43,,,1234567,38,25,18,2,,,727000,18,42,36000
Agent Comunication,2 - 3 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-04-12,Existing Business,FALSE,2022-04-13,2021-04-13,15000,,88,7.1,18756040072866,39,,,1234567,37,55,18,2,88,,747000,6,39,13000
Employee Satisfaction,4 - 5 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-05-20,New Business,FALSE,2022-05-21,2021-05-21,51000,55,79,6.5,5759538996440,43.5,95,15,1234567,38,55,18,5,71.89,,674000,23,42,40000
Wait Time,0 - 1 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2021-11-20,Services,FALSE,2021-11-21,2020-11-21,86000,,80,8.2,12237571935213,41,,,1234567,39,75,18,1,,,547000,23,41,14000
Agent Experience,6 or More Claims,,John,For Renewal,NPS,2021-04-26,,2022-06-25,New Business,FALSE,2022-06-26,2021-06-26,53000,58,74,7.1,9132670380572,41,90,25,1234567,39,25,19,7,67.34,79.92,540000,32,39,38000
Agent Comunication,2 - 3 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-06-01,Services,FALSE,2022-06-02,2021-06-02,79000,58,74,7.5,12519564060755,39,90,25,1234567,40,70,16,3,67.34,79.92,481000,18,39,56000
Employee Satisfaction,0 - 1 Claims,,Brian,Not Renewed,Period,2021-04-26,,2022-01-17,Existing Business,FALSE,2022-01-18,2021-01-18,88000,,88,7.8,9748944395247,43,,,1234567,40,12,16,1,,,541000,9,42,13000
Wait Time,6 or More Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-02-17,New Business,FALSE,2022-02-18,2021-02-18,53000,,90,8.5,9200337463180,43,,,1234567,38,75,15,6,,,532000,6,42,38000
Agent Experience,2 - 3 Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-10-22,Services,FALSE,2021-10-23,2020-10-23,53000,,79,7.6,13883814843600,43.5,,,1234567,37,25,17,2,,,471000,32,41,22000
Agent Experience,2 - 3 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-04-19,Existing Business,FALSE,2022-04-20,2021-04-20,96000,,88,6.3,17061280429956,39,,,1234567,37,55,19,3,,,952000,6,39,66000
Wait Time,2 - 3 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-07-24,Existing Business,FALSE,2022-07-25,2021-07-25,33000,58,65,7.6,4709922053699,43,95,12,1234567,41,75,19,2,,,621000,9,42,41000
Agent Comunication,4 - 5 Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2022-05-13,Services,FALSE,2022-05-14,2021-05-14,76000,55,79,7.5,511971972080,41,95,15,1234567,38,55,16,4,71.89,,796000,18,43,89000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2021-12-11,New Business,FALSE,2021-12-12,2020-12-12,100000,,85,7.8,15864329983226,43.5,,,1234567,41,12,20,3,,,924000,23,43,48000
Wait Time,0 - 1 Claims,,Brian,For Renewal,NPS,2021-04-26,,2021-11-14,Services,FALSE,2021-11-15,2020-11-15,99000,,80,8.2,2735244005750,41,,,1234567,39,58,16,1,,,868000,32,41,24000
Agent Experience,0 - 1 Claims,,John,Not Renewed,NumberOfClaims,2021-04-26,,2022-06-04,New Business,FALSE,2022-06-05,2021-06-05,39000,58,74,7.8,15145455228584,41,90,25,1234567,41,95,16,1,,79.92,894000,23,42,100000
Employee Satisfaction,4 - 5 Claims,,Mary,For Renewal,Period,2021-04-26,,2022-06-30,Existing Business,FALSE,2022-07-01,2021-07-01,22000,58,65,6.3,118404270667,43,95,12,1234567,40,58,20,4,,,493000,9,39,29000
