"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Retired","One","Silver","Detached","PN03-119760","Annabell MONTES","Accommodation and Food","Online","High School","Married","LOC_ID_341","","C2"
"Full-Time","One","Platinum","Semi-Detached	","PN04-004550","Bo B MONTES","Manufacturing","Online","Aprenticeship","Divorced","LOC_ID_341","","DE"
"Full-Time","One","Gold","Detached","PN01-081553","Margarito MONTES","Health","Refferal","Degree","Divorced","LOC_ID_345","","C1"
"Self Employed","One","Platinum","Apartment","PN02-040185","Pearle P MONTES","Education","Online","High School","Separated","LOC_ID_345","","C2"
"Self Employed","One","Gold","Terraces","PN02-085789","Stacey MONTES","Education","Online","Degree","Single","LOC_ID_345","","C2"
"Full-Time","One","Silver","Detached","PN04-009694","Casie MONTOYA","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_345","","C1"
"Self Employed","One","Silver","Apartment","PN-036620","Dario MONTOYA","Retail","Online","High School","Divorced","LOC_ID_348","","DE"
"Full-Time","One","Gold","Detached","PN01-040503","Kathie MONTOYA","Public Administration and Defence","Online","Degree","Single","LOC_ID_348","","C1"
"Self Employed","One","Silver","Detached","PN01-075210","Lucia L MONTOYA","Public Administration and Defence","Online","Degree","Single","LOC_ID_348","","C2"
"Self Employed","One","Platinum","Terraces","PN02-066824","Selena n MONTOYA","Professional, Scientific and Technical","Online","Degree","Same Sex","LOC_ID_348","","AB"
"Full-Time","One","Platinum","Apartment","PN02-071506","Sherlyn S MONTOYA","Accommodation and Food","Online","Other","Single","LOC_ID_348","","DE"
"Full-Time Student","One","Platinum","Apartment","PN02-096750","Tori T MONTOYA","Construction","Online","Aprenticeship","Single","LOC_ID_348","","C1"
"Retired","One","Gold","Detached","PN03-040489","Alfonzo A MOODY","Accommodation and Food","Retail","High School","Single","LOC_ID_348","","DE"
"Self Employed","Three","Platinum","Apartment","PN04-014120","Demetria m MOODY","Accommodation and Food","Retail","Higher Education","Single","LOC_ID_348","","C2"
"Self Employed","Two","Bronze","Semi-Detached	","PN04-017698","Demetrice MOODY","Accommodation and Food","Online","High School","Single","LOC_ID_348","","C2"
"Full-Time","One","Platinum","Apartment","PN01-056536","Jim J MOODY","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_349","","AB"
"Full-Time","Two","Platinum","Apartment","PN02-071465","Lyman MOODY","Health","Online","Degree","Separated","LOC_ID_349","","C2"
"Self Employed","One","Platinum","Detached","PN03-060810","Miguel MOODY","Health","Online","Degree","Married","LOC_ID_349","","C1"
"Other","Three","Silver","Detached","PN-020528","Roma MOODY","Retail","Online","Higher Education","Single","LOC_ID_352","","DE"
"Other","Three","Platinum","Apartment","PN-027691","Rossana s MOODY","Public Administration and Defence","Online","Higher Education","Single","LOC_ID_352","","C1"
"Full-Time","One","Platinum","Semi-Detached	","PN01-110049","Avery y MOORE","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_352","","AB"
"Unemployed","One","Gold","Terraces","PN04-012963","Magda M MOORE","Retail","Online","High School","Single","LOC_ID_352","","DE"
"Self Employed","One","Gold","Apartment","PN-011525","Milagro MOORE","Accommodation and Food","Online","High School","Separated","LOC_ID_355","","C2"
"Full-Time","One","Gold","Apartment","PN01-126856","Buck MORA","Retail","Refferal","Higher Education","Single","LOC_ID_357","","C2"
"Unemployed","One","Silver","Apartment","PN02-054648","Celina MORA","Professional, Scientific and Technical","Retail","Degree","Married","LOC_ID_357","","AB"
"Full-Time","One","Gold","Apartment","PN03-111712","Elizbeth MORA","Professional, Scientific and Technical","Online","Degree","Same Sex","LOC_ID_357","","AB"
"Full-Time","One","Silver","Detached","PN02-049775","Larry MORA","Public Administration and Defence","Refferal","Degree","Divorced","LOC_ID_365","","C1"
"Retired","One","Platinum","Detached","PN03-120408","Mattie MORA","Manufacturing","Online","Higher Education","Married","LOC_ID_365","","AB"
"Self Employed","One","Bronze","Apartment","PN03-105015","Andy MORALES","Health","Refferal","Degree","Married","LOC_ID_366","","C2"
"Full-Time","One","Platinum","Apartment","PN01-057882","Mae MORALES","Health","Refferal","Higher Education","Married","LOC_ID_37","","C2"
"Full-Time","Three","Platinum","Apartment","PN02-027253","Paul P MORALES","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_37","","C2"
"Part-Time","One","Gold","Semi-Detached	","PN04-018315","Alysia A MORAN","Transportation","Retail","Higher Education","Divorced","LOC_ID_37","","DE"
"Retired","Four","Bronze","Apartment","PN04-025959","Avelina MORAN","Public Administration and Defence","Refferal","Degree","Divorced","LOC_ID_37","","DE"
"Retired","Three","Bronze","Detached","PN-029671","Casandra MORAN","Education","Online","Higher Education","Single","LOC_ID_374","","C2"
"Full-Time","Two","Silver","Apartment","PN03-081805","Meredith r MORAN","Transportation","Online","Degree","Married","LOC_ID_374","","DE"
"Self Employed","One","Silver","Terraces","PN03-084138","Michel M MORAN","Accommodation and Food","Event","Degree","Single","LOC_ID_374","","DE"
"Full-Time","One","Gold","Terraces","PN-006310","Shanel S MORAN","Professional, Scientific and Technical","Refferal","Degree","Married","LOC_ID_378","","AB"
"Retired","One","Platinum","Apartment","PN-060663","Tracy MORAN","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_378","","AB"
"Self Employed","One","Platinum","Detached","PN-078095","Valene V MORAN","Accommodation and Food","Event","High School","Separated","LOC_ID_378","","C2"
"Full-Time","One","Bronze","Apartment","PN01-005832","Aide A MORENO","Manufacturing","Refferal","Aprenticeship","Separated","LOC_ID_378","","DE"
"Full-Time","Two","Bronze","Terraces","PN01-046837","Bettina MORENO","Transportation","Online","Aprenticeship","Married","LOC_ID_378","","DE"
"Full-Time","Zero","Bronze","Detached","PN01-126419","Corliss C MORENO","Health","Online","Other","Single","LOC_ID_378","","C2"
"Retired","Two","Bronze","Apartment","PN02-037586","Elbert MORENO","Transportation","Refferal","Degree","Married","LOC_ID_378","","DE"
"Full-Time","Three","Gold","Semi-Detached	","PN02-121327","Genevieve MORENO","Retail","Refferal","High School","Single","LOC_ID_378","","C2"
"Other","Three","Silver","Detached","PN03-059346","Kandy MORENO","Transportation","Online","Aprenticeship","Single","LOC_ID_378","","DE"
"Unemployed","Two","Bronze","Detached","PN-062260","Rodney MORENO","Accommodation and Food","Online","High School","Single","LOC_ID_38","","DE"
"Retired","One","Gold","Detached","PN01-030152","Abram MORGAN","Retail","Event","Higher Education","Divorced","LOC_ID_38","","C2"
"Full-Time","One","Bronze","Detached","PN02-047470","Gerald MORGAN","Accommodation and Food","Event","High School","Single","LOC_ID_38","","C2"
"Part-Time","Two","Silver","Apartment","PN02-071221","Glinda MORGAN","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_38","","AB"
"Part-Time","One","Bronze","Detached","PN03-078917","Maddie M MORGAN","Public Administration and Defence","Online","Aprenticeship","Separated","LOC_ID_38","","C2"
"Full-Time","One","Gold","Terraces","PN03-096979","Marquitta MORGAN","Transportation","Online","High School","Separated","LOC_ID_38","","C2"
"Full-Time","One","Silver","Detached","PN03-114177","Max MORGAN","Transportation","Online","Higher Education","Divorced","LOC_ID_38","","C2"
"Part-Time","One","Platinum","Detached","PN01-055147","Danyel MORRISON","Water Supply","Event","Aprenticeship","Married","LOC_ID_380","","C2"
"Full-Time","One","Silver","Semi-Detached	","PN02-015326","Huey H MORRISON","Manufacturing","Online","Other","Separated","LOC_ID_380","","C1"
"Full-Time","One","Platinum","Apartment","PN03-001139","Mana M MORRISON","Professional, Scientific and Technical","Online","Aprenticeship","Single","LOC_ID_380","","AB"
"Self Employed","Two","Bronze","Semi-Detached	","PN03-037101","Natalya MORRISON","Health","Online","High School","Single","LOC_ID_380","","C1"
"Other","One","Platinum","Semi-Detached	","PN-115556","Geralyn MORROW","Retail","Online","High School","Separated","LOC_ID_385","","C2"
"Unemployed","One","Bronze","Detached","PN01-025675","Jone MORROW","Retail","Online","High School","Single","LOC_ID_385","","DE"
"Full-Time","Three","Platinum","Apartment","PN01-053971","Kum MORROW","Retail","Event","Higher Education","Divorced","LOC_ID_385","","C2"
"Full-Time","One","Gold","Apartment","PN01-114461","Maurice M MORROW","Manufacturing","Refferal","High School","Married","LOC_ID_385","","DE"
"Part-Time","One","Bronze","Terraces","PN02-032601","Rita R MORROW","Manufacturing","Online","Aprenticeship","Single","LOC_ID_385","","AB"
"Retired","One","Platinum","Detached","PN02-110077","Twanda MORROW","Education","Refferal","Higher Education","Married","LOC_ID_385","","C1"
"Retired","One","Gold","Apartment","PN03-010418","Agueda MORSE","Accommodation and Food","Retail","Higher Education","Single","LOC_ID_385","","DE"
"Full-Time","One","Gold","Semi-Detached	","PN03-128845","Edison MORSE","Accommodation and Food","Event","High School","Separated","LOC_ID_385","","C2"
"Full-Time","One","Gold","Detached","PN04-004337","Eleni e MORSE","Health","Online","Degree","Single","LOC_ID_385","","AB"
"Self Employed","One","Platinum","Semi-Detached	","PN-037664","Jaunita MORSE","Transportation","Retail","Degree","Widowed","LOC_ID_386","","C2"
"Unemployed","One","Silver","Detached","PN-049029","Jeramy MORSE","Accommodation and Food","Event","Higher Education","Single","LOC_ID_386","","C2"
"Retired","One","Gold","Terraces","PN-056373","Joannie MORSE","Health","Online","Degree","Separated","LOC_ID_386","","C2"
"Unemployed","Two","Silver","Apartment","PN01-006612","Kesha K MORSE","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_386","","AB"
"Full-Time","Two","Gold","Apartment","PN02-083604","Morgan MORSE","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_386","","AB"
"Full-Time","One","Bronze","Apartment","PN03-003857","Nery N MORSE","Construction","Online","Degree","Married","LOC_ID_386","","C2"
"Retired","Three","Silver","Apartment","PN04-006612","Selena S MORSE","Retail","Refferal","High School","Divorced","LOC_ID_386","","DE"
"Part-Time","Two","Platinum","Apartment","PN-115438","Suzann MORSE","Retail","Refferal","Higher Education","Widowed","LOC_ID_389","","C2"
"Unemployed","Three","Platinum","Apartment","PN-055070","Carlie C MOSLEY","Retail","Online","High School","Married","LOC_ID_39","","C2"
"Full-Time","One","Silver","Detached","PN01-077548","Jc J MOSLEY","Construction","Refferal","Aprenticeship","Single","LOC_ID_39","","C1"
"Part-Time","One","Platinum","Detached","PN03-036959","Sibyl MOSLEY","Public Administration and Defence","Online","Aprenticeship","Single","LOC_ID_39","","C1"
"Other","One","Platinum","Detached","PN03-115464","Alline l MOSS","Transportation","Retail","Higher Education","Separated","LOC_ID_39","","DE"
"Other","Two","Gold","Semi-Detached	","PN04-003356","Asa A MOSS","Retail","Refferal","High School","Divorced","LOC_ID_39","","C2"
"Full-Time","Two","Gold","Apartment","PN-025540","Coretta MOSS","Manufacturing","Refferal","Degree","Single","LOC_ID_393","","C1"
"Full-Time","One","Gold","Semi-Detached	","PN02-089493","Kami MOSS","Health","Online","Aprenticeship","Married","LOC_ID_393","","C2"
"Full-Time","One","Platinum","Detached","PN03-012874","Karlyn MOSS","Transportation","Refferal","High School","Single","LOC_ID_393","","DE"
"Part-Time","One","Bronze","Detached","PN03-023545","Kesha K MOSS","Education","Online","Degree","Single","LOC_ID_393","","C2"
"Full-Time","One","Bronze","Semi-Detached	","PN01-042340","Onie O MOSS","Public Administration and Defence","Retail","Higher Education","Divorced","LOC_ID_394","","DE"
"Full-Time","One","Gold","Detached","PN01-080387","Penney P MOSS","Professional, Scientific and Technical","Refferal","Aprenticeship","Single","LOC_ID_394","","AB"
"Full-Time","Three","Gold","Detached","PN02-058462","Rickey MOSS","Education","Online","Degree","Married","LOC_ID_394","","C1"
"Full-Time","Two","Platinum","Detached","PN-024012","Tommie MOSS","Public Administration and Defence","Refferal","Higher Education","Single","LOC_ID_40","","C2"
"Other","One","Silver","Terraces","PN-024343","Tonia MOSS","Education","Online","Degree","Married","LOC_ID_40","","C2"
"Full-Time","Two","Bronze","Apartment","PN-075650","Agueda A MOYER","Public Administration and Defence","Online","Other","Married","LOC_ID_40","","AB"
"Full-Time","One","Platinum","Detached","PN01-001796","Charlie MOYER","Accommodation and Food","Online","High School","Single","LOC_ID_40","","DE"
"Other","Two","Bronze","Terraces","PN01-037340","Danyelle e MOYER","Professional, Scientific and Technical","Refferal","Higher Education","Single","LOC_ID_40","","AB"
"Self Employed","Three","Bronze","Apartment","PN01-124984","Jasper J MOYER","Public Administration and Defence","Online","Aprenticeship","Divorced","LOC_ID_40","","C1"
"Full-Time","One","Gold","Apartment","PN02-116224","Maude MOYER","Public Administration and Defence","Event","Aprenticeship","Married","LOC_ID_40","","C1"
"Full-Time","One","Platinum","Terraces","PN02-120864","Melida MOYER","Public Administration and Defence","Refferal","Aprenticeship","Single","LOC_ID_40","","C2"
"Part-Time","One","Platinum","Detached","PN03-036416","Olinda MOYER","Public Administration and Defence","Online","Degree","Single","LOC_ID_40","","C1"
"Full-Time","One","Platinum","Semi-Detached	","PN04-017603","Willow W MOYER","Education","Event","Other","Widowed","LOC_ID_40","","DE"
"Full-Time Student","Three","Gold","Apartment","PN04-023529","Yuriko r MOYER","Retail","Event","Higher Education","Married","LOC_ID_40","","DE"
"Unemployed","Three","Gold","Apartment","PN-081839","Elsa MUELLER","Retail","Online","Other","Widowed","LOC_ID_409","","C2"
"Full-Time","Three","Gold","Apartment","PN01-025130","Ferdinand MUELLER","Retail","Refferal","High School","Single","LOC_ID_409","","C2"
"Full-Time Student","One","Silver","Semi-Detached	","PN01-044412","Florencio F MUELLER","Manufacturing","Refferal","High School","Single","LOC_ID_409","","C1"
"Part-Time","One","Bronze","Detached","PN-024767","Justine J MUELLER","Public Administration and Defence","Online","Higher Education","Single","LOC_ID_412","","C1"
"Full-Time","Two","Gold","Apartment","PN01-075509","Lee MUELLER","Construction","Refferal","Degree","Single","LOC_ID_412","","C2"
"Full-Time","Three","Platinum","Apartment","PN01-097084","Leslie MUELLER","Accommodation and Food","Online","High School","Separated","LOC_ID_412","","DE"
"Part-Time","One","Bronze","Apartment","PN02-104297","Madaline MUELLER","Transportation","Online","Aprenticeship","Divorced","LOC_ID_412","","C2"
"Full-Time Student","One","Gold","Apartment","PN01-126113","Kimberly MULLEN","Health","Online","Degree","Married","LOC_ID_423","","C1"
"Self Employed","Two","Gold","Apartment","PN02-023872","Lavern L MULLEN","Public Administration and Defence","Refferal","Degree","Single","LOC_ID_423","","C1"
"Self Employed","One","Bronze","Detached","PN02-053174","Lourie i MULLEN","Accommodation and Food","Online","Other","Single","LOC_ID_423","","C2"
"Unemployed","One","Platinum","Apartment","PN03-048797","Minna MULLEN","Public Administration and Defence","Refferal","Degree","Married","LOC_ID_423","","C1"
"Other","One","Platinum","Apartment","PN-036219","Shona MULLEN","Professional, Scientific and Technical","Event","Higher Education","Single","LOC_ID_424","","AB"
"Retired","One","Gold","Apartment","PN01-014635","Arlie l MUNOZ","Professional, Scientific and Technical","Online","Higher Education","Divorced","LOC_ID_424","","AB"
"Full-Time","One","Platinum","Terraces","PN01-037911","Bunny MUNOZ","Accommodation and Food","Refferal","High School","Married","LOC_ID_424","","C2"
"Full-Time","One","Silver","Semi-Detached	","PN01-081929","Crystal MUNOZ","Public Administration and Defence","Online","Aprenticeship","Divorced","LOC_ID_424","","C1"
"Full-Time","One","Platinum","Apartment","PN01-109070","Edwina MUNOZ","Education","Event","Higher Education","Same Sex","LOC_ID_424","","C2"
"Part-Time","One","Silver","Apartment","PN02-031425","Hyon MUNOZ","Manufacturing","Retail","Aprenticeship","Single","LOC_ID_424","","AB"
"Full-Time","One","Bronze","Terraces","PN02-043093","Janessa MUNOZ","Accommodation and Food","Online","High School","Single","LOC_ID_424","","C2"
"Full-Time","One","Bronze","Apartment","PN02-053574","Jannie MUNOZ","Retail","Refferal","Higher Education","Married","LOC_ID_424","","C2"
"Full-Time","One","Platinum","Detached","PN-048389","Verena MUNOZ","Public Administration and Defence","Online","Degree","Divorced","LOC_ID_431","","DE"
"Unemployed","Two","Silver","Apartment","PN01-097787","Clora MURILLO","Retail","Online","High School","Married","LOC_ID_431","","C2"
"Full-Time","One","Platinum","Apartment","PN02-028331","Dollie D MURILLO","Retail","Online","High School","Married","LOC_ID_431","","DE"
"Other","One","Platinum","Detached","PN02-030103","Donna MURILLO","Transportation","Refferal","Higher Education","Single","LOC_ID_431","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN02-121683","Genoveva MURILLO","Education","Online","Degree","Single","LOC_ID_431","","C2"
"Full-Time","One","Bronze","Detached","PN03-002284","Giovanni MURILLO","Professional, Scientific and Technical","Event","Degree","Widowed","LOC_ID_431","","AB"
"Self Employed","One","Bronze","Terraces","PN04-023676","Lawerence MURILLO","Public Administration and Defence","Retail","Aprenticeship","Separated","LOC_ID_431","","AB"
"Full-Time","One","Platinum","Apartment","PN-105362","Margarito MURILLO","Health","Online","Degree","Divorced","LOC_ID_438","","C2"
"Self Employed","One","Platinum","Apartment","PN02-100076","Ona MURILLO","Retail","Online","High School","Married","LOC_ID_438","","DE"
"Other","One","Bronze","Terraces","PN-073245","Shante MURILLO","Education","Online","Degree","Single","LOC_ID_440","","AB"
"Self Employed","One","Platinum","Apartment","PN02-033937","Truman T MURILLO","Manufacturing","Retail","Higher Education","Separated","LOC_ID_440","","C1"
"Unemployed","Two","Gold","Terraces","PN03-007146","Versie MURILLO","Water Supply","Online","Aprenticeship","Single","LOC_ID_440","","C1"
"Other","One","Platinum","Terraces","PN01-018620","Desire s MURPHY","Retail","Online","Degree","Separated","LOC_ID_441","","C2"
"Full-Time","One","Bronze","Apartment","PN01-020164","Devora D MURPHY","Manufacturing","Online","Aprenticeship","Single","LOC_ID_441","","AB"
"Part-Time","Two","Platinum","Detached","PN01-029832","Elvin MURPHY","Manufacturing","Refferal","Higher Education","Married","LOC_ID_441","","C1"
"Full-Time","One","Platinum","Terraces","PN02-116594","Kim MURPHY","Transportation","Event","Aprenticeship","Separated","LOC_ID_441","","C2"
"Full-Time","One","Silver","Detached","PN03-076521","Maida MURPHY","Public Administration and Defence","Online","High School","Single","LOC_ID_441","","AB"
"Full-Time","One","Gold","Apartment","PN01-085386","Kaleigh MURRAY","Education","Event","Degree","Married","LOC_ID_455","","C2"
"Full-Time","One","Bronze","Terraces","PN01-123974","Keeley MURRAY","Construction","Online","Degree","Single","LOC_ID_455","","AB"
"Full-Time Student","One","Platinum","Apartment","PN01-040073","Omar MURRAY","Construction","Online","Degree","Single","LOC_ID_457","","C1"
"Unemployed","One","Bronze","Terraces","PN01-085142","Rebecca MURRAY","Construction","Retail","Higher Education","Married","LOC_ID_457","","DE"
"Full-Time","One","Silver","Detached","PN02-036188","Rosamaria MURRAY","Transportation","Online","High School","Single","LOC_ID_457","","C2"
"Full-Time Student","One","Platinum","Detached","PN03-009302","Shante MURRAY","Retail","Online","Higher Education","Married","LOC_ID_457","","DE"
"Unemployed","One","Bronze","Semi-Detached	","PN-000907","Timothy T MURRAY","Manufacturing","Refferal","High School","Married","LOC_ID_468","","AB"
"Full-Time","Two","Silver","Detached","PN-003425","Toby  MURRAY","Accommodation and Food","Refferal","High School","Single","LOC_ID_468","","C2"
"Unemployed","One","Platinum","Terraces","PN01-006172","Arleen MYERS","Transportation","Online","Higher Education","Divorced","LOC_ID_468","","DE"
"Full-Time","One","Silver","Apartment","PN01-046917","Carrie MYERS","Accommodation and Food","Online","High School","Single","LOC_ID_468","","C2"
"Full-Time Student","One","Silver","Detached","PN02-000907","Coy C MYERS","Retail","Online","High School","Single","LOC_ID_468","","C2"
"Full-Time Student","One","Silver","Apartment","PN-001588","Neville N MYERS","Education","Refferal","Degree","Married","LOC_ID_476","","C2"
"Retired","One","Gold","Detached","PN01-057780","Rosamaria MYERS","Retail","Event","High School","Single","LOC_ID_476","","DE"
"Part-Time","One","Platinum","Terraces","PN04-008156","Warren W MYERS","Professional, Scientific and Technical","Refferal","High School","Single","LOC_ID_476","","AB"
"Full-Time","Three","Gold","Terraces","PN-046516","Arlie NAVA","Education","Online","Aprenticeship","Single","LOC_ID_477","","C1"
"Full-Time","Three","Platinum","Semi-Detached	","PN01-046544","Dillon NAVA","Professional, Scientific and Technical","Online","Degree","Separated","LOC_ID_477","","AB"
"Full-Time","One","Gold","Semi-Detached	","PN01-071143","Elise i NAVA","Health","Online","Degree","Single","LOC_ID_477","","AB"
"Other","One","Platinum","Terraces","PN02-000769","Ian NAVA","Retail","Online","High School","Married","LOC_ID_477","","DE"
"Self Employed","One","Silver","Terraces","PN-050175","Sal NAVA","Public Administration and Defence","Online","Degree","Divorced","LOC_ID_480","","C1"
"Full-Time","One","Gold","Apartment","PN-067293","Tarra NAVA","Manufacturing","Event","High School","Single","LOC_ID_480","","C1"
"Other","One","Gold","Terraces","PN-085901","Xenia NAVA","Professional, Scientific and Technical","Online","Degree","Separated","LOC_ID_480","","AB"
"Full-Time","One","Gold","Apartment","PN01-069394","Clair C NAVARRO","Accommodation and Food","Refferal","Other","Divorced","LOC_ID_480","","DE"
"Part-Time","Zero","Bronze","Terraces","PN02-068356","Irwin NAVARRO","Professional, Scientific and Technical","Event","Degree","Single","LOC_ID_480","","AB"
"Part-Time","Two","Silver","Terraces","PN02-121691","Julieann NAVARRO","Public Administration and Defence","Refferal","High School","Married","LOC_ID_480","","C1"
"Full-Time","Two","Bronze","Terraces","PN03-039457","Kortney NAVARRO","Energy Supply","Refferal","Aprenticeship","Single","LOC_ID_480","","C2"
"Retired","One","Silver","Apartment","PN04-025659","Otha NAVARRO","Professional, Scientific and Technical","Retail","Degree","Single","LOC_ID_480","","AB"
"Full-Time Student","One","Platinum","Apartment","PN-009848","Piedad NAVARRO","Public Administration and Defence","Online","Aprenticeship","Married","LOC_ID_485","","C1"
"Full-Time","One","Gold","Apartment","PN02-034311","Denver NEAL","Accommodation and Food","Online","Aprenticeship","Single","LOC_ID_494","","DE"
"Other","One","Platinum","Detached","PN-107156","Hallie NEAL","Transportation","Online","Aprenticeship","Divorced","LOC_ID_495","","C2"
"Self Employed","One","Gold","Semi-Detached	","PN02-005615","Jeromy NEAL","Public Administration and Defence","Online","Aprenticeship","Widowed","LOC_ID_495","","C1"
"Retired","One","Silver","Apartment","PN01-036132","Selena S NEAL","Retail","Online","High School","Divorced","LOC_ID_503","","DE"
"Full-Time","One","Silver","Detached","PN-044930","Annabelle A NELSON","Retail","Online","High School","Single","LOC_ID_516","","C2"
"Full-Time Student","One","Gold","Detached","PN01-046208","Christian C NELSON","Transportation","Online","Aprenticeship","Single","LOC_ID_516","","AB"
"Part-Time","One","Bronze","Detached","PN02-013700","Duncan D NELSON","Construction","Online","High School","Single","LOC_ID_516","","C2"
"Full-Time","One","Platinum","Terraces","PN02-058735","Elsa NELSON","Transportation","Online","Higher Education","Single","LOC_ID_516","","C2"
"Full-Time","Two","Gold","Apartment","PN03-011063","Felix NELSON","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_516","","DE"
"Full-Time","One","Silver","Detached","PN03-121623","Isiah I NELSON","Manufacturing","Refferal","High School","Separated","LOC_ID_516","","C2"
"Full-Time","One","Bronze","Detached","PN-011420","Oda NELSON","Health","Online","Degree","Married","LOC_ID_52","","C1"
"Unemployed","Two","Gold","Apartment","PN-085699","Opal NELSON","Education","Online","High School","Divorced","LOC_ID_52","","AB"
"Full-Time","Two","Bronze","Detached","PN02-002701","Stacey NELSON","Professional, Scientific and Technical","Retail","Degree","Divorced","LOC_ID_52","","AB"
"Full-Time","One","Silver","Terraces","PN-036556","Birdie NEWMAN","Retail","Retail","Other","Single","LOC_ID_527","","C2"
"Full-Time Student","One","Platinum","Apartment","PN01-081514","Elise NEWMAN","Health","Online","Degree","Married","LOC_ID_527","","C1"
"Self Employed","One","Platinum","Apartment","PN02-047902","Hassan NEWMAN","Transportation","Event","Aprenticeship","Single","LOC_ID_527","","C2"
"Other","One","Gold","Detached","PN01-059517","Qiana NEWMAN","Education","Event","Degree","Single","LOC_ID_532","","C2"
"Full-Time Student","One","Bronze","Semi-Detached	","PN02-009865","Sadye S NEWMAN","Accommodation and Food","Online","Higher Education","Separated","LOC_ID_532","","DE"
"Full-Time","One","Platinum","Detached","PN-114930","Carin NICHOLS","Public Administration and Defence","Online","Aprenticeship","Married","LOC_ID_534","","C1"
"Other","One","Bronze","Apartment","PN02-011438","Elinore NICHOLS","Education","Online","Degree","Single","LOC_ID_534","","C2"
"Full-Time","Two","Platinum","Apartment","PN02-071777","Elizebeth NICHOLS","Manufacturing","Retail","Aprenticeship","Single","LOC_ID_534","","DE"
"Full-Time","One","Gold","Detached","PN02-121573","Flavia NICHOLS","Education","Online","Higher Education","Married","LOC_ID_534","","C2"
"Unemployed","One","Gold","Detached","PN-005128","John J NICHOLS","Retail","Refferal","High School","Single","LOC_ID_537","","DE"
"Other","One","Silver","Apartment","PN01-005128","Maddie NICHOLS","Retail","Online","High School","Separated","LOC_ID_537","","DE"
"Full-Time","Three","Bronze","Apartment","PN01-097988","Ned N NICHOLS","Professional, Scientific and Technical","Event","Higher Education","Single","LOC_ID_537","","C1"
"Part-Time","One","Bronze","Terraces","PN04-028678","Adrianne NIELSEN","Public Administration and Defence","Event","High School","Married","LOC_ID_537","","AB"
"Full-Time","One","Bronze","Terraces","PN-077937","Bettina NIELSEN","Manufacturing","Retail","Degree","Single","LOC_ID_547","","C1"
"Part-Time","One","Silver","Detached","PN01-077042","Debrah NIELSEN","Retail","Online","Higher Education","Single","LOC_ID_547","","C2"
"Other","One","Bronze","Terraces","PN01-114946","Dudley NIELSEN","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_547","","C2"
"Full-Time Student","One","Gold","Terraces","PN02-073042","Glady NIELSEN","Accommodation and Food","Event","Other","Divorced","LOC_ID_547","","DE"
"Unemployed","Two","Platinum","Detached","PN02-037567","Ned NIELSEN","Public Administration and Defence","Online","Aprenticeship","Married","LOC_ID_55","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN-084202","Brenna NIXON","Transportation","Online","Higher Education","Single","LOC_ID_557","","DE"
"Self Employed","One","Silver","Apartment","PN02-105210","Dwight NIXON","Health","Refferal","Higher Education","Single","LOC_ID_557","","C1"
"Full-Time","Two","Silver","Apartment","PN03-114431","Georgetta NIXON","Transportation","Event","Aprenticeship","Single","LOC_ID_557","","DE"
"Full-Time","One","Gold","Apartment","PN-054822","Jenee NIXON","Education","Refferal","Degree","Divorced","LOC_ID_56","","C2"
"Full-Time","One","Gold","Apartment","PN01-035032","Lera r NIXON","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_56","","AB"
"Full-Time","One","Bronze","Apartment","PN01-037909","Lizabeth NIXON","Transportation","Online","Other","Single","LOC_ID_56","","C2"
"Full-Time","One","Platinum","Semi-Detached	","PN03-054822","Shondra S NIXON","Professional, Scientific and Technical","Event","Degree","Separated","LOC_ID_56","","AB"
"Retired","One","Gold","Apartment","PN-077075","Aide NOBLE","Health","Online","Degree","Divorced","LOC_ID_561","","C1"
"Full-Time","One","Gold","Detached","PN01-059900","Brandie NOBLE","Education","Online","Degree","Single","LOC_ID_561","","C1"
"Part-Time","Two","Platinum","Apartment","PN-056719","Jerri J NOBLE","Accommodation and Food","Online","High School","Separated","LOC_ID_562","","DE"
"Full-Time","Four","Bronze","Semi-Detached	","PN01-045850","Leonore L NOBLE","Water Supply","Online","Aprenticeship","Separated","LOC_ID_562","","C2"
"Unemployed","Four","Bronze","Detached","PN03-058240","Sal NOBLE","Education","Online","Degree","Single","LOC_ID_562","","C1"
"Full-Time","Two","Silver","Apartment","PN03-039726","Drema D NOLAN","Retail","Online","High School","Separated","LOC_ID_567","","C2"
"Retired","One","Gold","Detached","PN03-046726","Eliseo NOLAN","Retail","Online","High School","Divorced","LOC_ID_567","","C2"
