"ChangeReasonType","EffectiveDate","Id","LoyaltyMemberCurrency.LoyaltyProgramCurrency.IsPrimary","LoyaltyMemberCurrency.LoyaltyProgramCurrency.NQP_Currency","LoyaltyMemberCurrency.LoyaltyProgramCurrency.QP_Currency","LoyaltyMemberCurrency.LoyaltyProgramMember.AccountContact.Id","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Name","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyMemberId","LoyaltyProgramMember.Account.Name","LoyaltyProgramMember.AccountContact.Id","LoyaltyProgramMember.Contact.Birthdate","LoyaltyProgramMember.Contact.MobilePhone","LoyaltyProgramMember.Contact.Name","LoyaltyProgramMember.ContactId","LoyaltyProgramMember.EnrollmentChannel","LoyaltyProgramMember.EnrollmentDate","LoyaltyProgramMember.IsReferral","LoyaltyProgramMember.LeadOrContactId","LoyaltyProgramMember.LeadOrContactName","LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyProgramMember.MemberCity","LoyaltyProgramMember.MemberCountry","LoyaltyProgramMember.MemberId","LoyaltyProgramMember.MemberName","LoyaltyProgramMember.MemberState","LoyaltyProgramMember.MemberStatus","LoyaltyProgramMember.MemberTenureBucket","LoyaltyProgramMember.MemberType","LoyaltyProgramMember.MembershipEndDate","LoyaltyProgramMember.MembershipLastRenewalDate","LoyaltyProgramMember.MembershipNumber","LoyaltyProgramMember.ProgramId","LoyaltyProgramMember.ReferredById","LoyaltyProgramMember.Referrer.Account.Name","LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyProgramMember.TransactionJournal.FirstAccrualDate","LoyaltyProgramMember.TransactionJournal.SecondAccrualDate","LoyaltyTier.LoyaltyTierGroup.IsPrimary","LoyaltyTier.LoyaltyTierGroup.Name","LoyaltyTier.Name","LoyaltyTier.SequenceNumber","LoyaltyTierGroupId","LoyaltyTierId","Name","ReasonForChange","TierExpirationDate","LastProcessedDate"
"VIP Member",2021-06-14,"0lyB0000000RJKfIAO",FALSE,"Points","Number of Transactions",,,,"User89 Q4Data89",,,,"0lMB0000000RIJJMA4",,,,,"User89 Q4Data89","003B000000IXi0yIAD","Web",2021-06-14,"No","003B000000IXi0yIAD","User89 Q4Data89","NTO Insider","New Jersey","USA","003B000000IXi0yIAD","User89 Q4Data89","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_310","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-08-13,"0lyB0000000RJKgIAO",FALSE,"Points","Number of Transactions",,,,"User95 Q4Data95",,,,"0lMB0000000RIJKMA4",,,,,"User95 Q4Data95","003B000000IXi0zIAD","POS",2021-08-13,"No","003B000000IXi0zIAD","User95 Q4Data95","NTO Insider","New York","USA","003B000000IXi0zIAD","User95 Q4Data95","NY","Active","2.1-3 months","Individual",,,"IndivAiK_311","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-08-13,"0lyB0000000RJKhIAO",FALSE,"Points","Number of Transactions",,,,"User95 Q4Data95",,,,"0lMB0000000RIJKMA4",,,,,"User95 Q4Data95","003B000000IXi0zIAD","POS",2021-08-13,"No","003B000000IXi0zIAD","User95 Q4Data95","NTO Insider","New York","USA","003B000000IXi0zIAD","User95 Q4Data95","NY","Active","2.1-3 months","Individual",,,"IndivAiK_311","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2020-05-17,"0lyB0000000RJKiIAO",FALSE,"Points","Number of Transactions",,,,"User96 Q4Data96",,,,"0lMB0000000RIJLMA4",,,,,"User96 Q4Data96","003B000000IXi10IAD","CallCenter",2020-05-17,"No","003B000000IXi10IAD","User96 Q4Data96","NTO Insider","New York","USA","003B000000IXi10IAD","User96 Q4Data96","NY","Active","6.1-2 years","Individual",,,"IndivAiK_312","0lpB0000000PBdwIAG",,,,"2020-12-21T00:00:00.000Z","2021-09-16T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2020-05-17,"0lyB0000000RJKjIAO",FALSE,"Points","Number of Transactions",,,,"User96 Q4Data96",,,,"0lMB0000000RIJLMA4",,,,,"User96 Q4Data96","003B000000IXi10IAD","CallCenter",2020-05-17,"No","003B000000IXi10IAD","User96 Q4Data96","NTO Insider","New York","USA","003B000000IXi10IAD","User96 Q4Data96","NY","Active","6.1-2 years","Individual",,,"IndivAiK_312","0lpB0000000PBdwIAG",,,,"2020-12-21T00:00:00.000Z","2021-09-16T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-12-17,"0lyB0000000RJKkIAO",FALSE,"Points","Number of Transactions",,,,"User97 Q4Data97",,,,"0lMB0000000RIJMMA4",,,,,"User97 Q4Data97","003B000000IXi11IAD","Social",2021-12-17,"No","003B000000IXi11IAD","User97 Q4Data97","NTO Insider","San Francisco","USA","003B000000IXi11IAD","User97 Q4Data97","CA","Active","9.NA","Individual",,,"IndivAiK_313","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-12-17,"0lyB0000000RJKlIAO",FALSE,"Points","Number of Transactions",,,,"User97 Q4Data97",,,,"0lMB0000000RIJMMA4",,,,,"User97 Q4Data97","003B000000IXi11IAD","Social",2021-12-17,"No","003B000000IXi11IAD","User97 Q4Data97","NTO Insider","San Francisco","USA","003B000000IXi11IAD","User97 Q4Data97","CA","Active","9.NA","Individual",,,"IndivAiK_313","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-06-16,"0lyB0000000RJKmIAO",FALSE,"Points","Number of Transactions",,,,"User47 Perf47",,,,"0lMB0000000RIJNMA4",,,,,"User47 Perf47","003B000000IXhqjIAD","Email",2021-06-16,"No","003B000000IXhqjIAD","User47 Perf47","NTO Insider","Toronto","Canada","003B000000IXhqjIAD","User47 Perf47","Ontario","Active","3.3-6 months","Individual",,,"IndivAiK_314","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-06-16,"0lyB0000000RJKnIAO",FALSE,"Points","Number of Transactions",,,,"User47 Perf47",,,,"0lMB0000000RIJNMA4",,,,,"User47 Perf47","003B000000IXhqjIAD","Email",2021-06-16,"No","003B000000IXhqjIAD","User47 Perf47","NTO Insider","Toronto","Canada","003B000000IXhqjIAD","User47 Perf47","Ontario","Active","3.3-6 months","Individual",,,"IndivAiK_314","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2020-11-24,"0lyB0000000RJKoIAO",FALSE,"Points","Number of Transactions",,,,"User48 Perf48",,,,"0lMB0000000RIJOMA4",,,,,"User48 Perf48","003B000000IXhqkIAD","Web",2020-11-24,"No","003B000000IXhqkIAD","User48 Perf48","NTO Insider","Toronto","Canada","003B000000IXhqkIAD","User48 Perf48","Ontario","Active","5.9-12 months","Individual",,,"IndivAiK_315","0lpB0000000PBdwIAG",,,,"2020-07-11T00:00:00.000Z","2021-07-22T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2020-11-24,"0lyB0000000RJKpIAO",FALSE,"Points","Number of Transactions",,,,"User48 Perf48",,,,"0lMB0000000RIJOMA4",,,,,"User48 Perf48","003B000000IXhqkIAD","Web",2020-11-24,"No","003B000000IXhqkIAD","User48 Perf48","NTO Insider","Toronto","Canada","003B000000IXhqkIAD","User48 Perf48","Ontario","Active","5.9-12 months","Individual",,,"IndivAiK_315","0lpB0000000PBdwIAG",,,,"2020-07-11T00:00:00.000Z","2021-07-22T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-05-20,"0lyB0000000RJKqIAO",FALSE,"Points","Number of Transactions",,,,"User49 Perf49",,,,"0lMB0000000RIJPMA4",,,,,"User49 Perf49","003B000000IXhqlIAD","Social",2020-05-20,"No","003B000000IXhqlIAD","User49 Perf49","NTO Insider","New York City","USA","003B000000IXhqlIAD","User49 Perf49","NY","Active","6.1-2 years","Individual",,,"IndivAiK_316","0lpB0000000PBdwIAG",,,,"2020-11-03T00:00:00.000Z","2021-09-16T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-05-20,"0lyB0000000RJKrIAO",FALSE,"Points","Number of Transactions",,,,"User49 Perf49",,,,"0lMB0000000RIJPMA4",,,,,"User49 Perf49","003B000000IXhqlIAD","Social",2020-05-20,"No","003B000000IXhqlIAD","User49 Perf49","NTO Insider","New York City","USA","003B000000IXhqlIAD","User49 Perf49","NY","Active","6.1-2 years","Individual",,,"IndivAiK_316","0lpB0000000PBdwIAG",,,,"2020-11-03T00:00:00.000Z","2021-09-16T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-02-25,"0lyB0000000RJKsIAO",FALSE,"Points","Number of Transactions",,,,"User50 Perf50",,,,"0lMB0000000RIJQMA4",,,,,"User50 Perf50","003B000000IXhqmIAD","Email",2020-02-25,"No","003B000000IXhqmIAD","User50 Perf50","NTO Insider","New York","USA","003B000000IXhqmIAD","User50 Perf50","NY","Active","6.1-2 years","Individual",,,"IndivAiK_317","0lpB0000000PBdwIAG",,,,"2020-10-06T00:00:00.000Z","2021-05-05T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-02-25,"0lyB0000000RJKtIAO",FALSE,"Points","Number of Transactions",,,,"User50 Perf50",,,,"0lMB0000000RIJQMA4",,,,,"User50 Perf50","003B000000IXhqmIAD","Email",2020-02-25,"No","003B000000IXhqmIAD","User50 Perf50","NTO Insider","New York","USA","003B000000IXhqmIAD","User50 Perf50","NY","Active","6.1-2 years","Individual",,,"IndivAiK_317","0lpB0000000PBdwIAG",,,,"2020-10-06T00:00:00.000Z","2021-05-05T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-10-23,"0lyB0000000RJKuIAO",FALSE,"Points","Number of Transactions",,,,"User51 Perf51",,,,"0lMB0000000RIJRMA4",,,,,"User51 Perf51","003B000000IXhqnIAD","Web",2020-10-23,"No","003B000000IXhqnIAD","User51 Perf51","NTO Insider","New York","USA","003B000000IXhqnIAD","User51 Perf51","NY","Active","6.1-2 years","Individual",,,"IndivAiK_318","0lpB0000000PBdwIAG",,,,"2021-01-05T00:00:00.000Z","2021-04-19T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-10-23,"0lyB0000000RJKvIAO",FALSE,"Points","Number of Transactions",,,,"User51 Perf51",,,,"0lMB0000000RIJRMA4",,,,,"User51 Perf51","003B000000IXhqnIAD","Web",2020-10-23,"No","003B000000IXhqnIAD","User51 Perf51","NTO Insider","New York","USA","003B000000IXhqnIAD","User51 Perf51","NY","Active","6.1-2 years","Individual",,,"IndivAiK_318","0lpB0000000PBdwIAG",,,,"2021-01-05T00:00:00.000Z","2021-04-19T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-04-29,"0lyB0000000RJKwIAO",FALSE,"Points","Number of Transactions",,,,"User53 Perf53",,,,"0lMB0000000RIJSMA4",,,,,"User53 Perf53","003B000000IXhqoIAD","POS",2021-04-29,"No","003B000000IXhqoIAD","User53 Perf53","NTO Insider","New Jersey","USA","003B000000IXhqoIAD","User53 Perf53","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_319","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-04-29,"0lyB0000000RJKxIAO",FALSE,"Points","Number of Transactions",,,,"User53 Perf53",,,,"0lMB0000000RIJSMA4",,,,,"User53 Perf53","003B000000IXhqoIAD","POS",2021-04-29,"No","003B000000IXhqoIAD","User53 Perf53","NTO Insider","New Jersey","USA","003B000000IXhqoIAD","User53 Perf53","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_319","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-04-03,"0lyB0000000RJKyIAO",FALSE,"Points","Number of Transactions",,,,"User54 Perf54",,,,"0lMB0000000RIJTMA4",,,,,"User54 Perf54","003B000000IXhqpIAD","CallCenter",2021-04-03,"No","003B000000IXhqpIAD","User54 Perf54","NTO Insider","San Francisco","USA","003B000000IXhqpIAD","User54 Perf54","CA","Active","4.6-9 months","Individual",,,"IndivAiK_320","0lpB0000000PBdwIAG",,,,"2020-06-19T00:00:00.000Z","2021-12-02T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-04-03,"0lyB0000000RJKzIAO",FALSE,"Points","Number of Transactions",,,,"User54 Perf54",,,,"0lMB0000000RIJTMA4",,,,,"User54 Perf54","003B000000IXhqpIAD","CallCenter",2021-04-03,"No","003B000000IXhqpIAD","User54 Perf54","NTO Insider","San Francisco","USA","003B000000IXhqpIAD","User54 Perf54","CA","Active","4.6-9 months","Individual",,,"IndivAiK_320","0lpB0000000PBdwIAG",,,,"2020-06-19T00:00:00.000Z","2021-12-02T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-12-26,"0lyB0000000RJL0IAO",FALSE,"Points","Number of Transactions",,,,"User55 Perf55",,,,"0lMB0000000RIJUMA4",,,,,"User55 Perf55","003B000000IXhqqIAD","Social",2020-12-26,"No","003B000000IXhqqIAD","User55 Perf55","NTO Insider","Toronto","Canada","003B000000IXhqqIAD","User55 Perf55","Ontario","Active","5.9-12 months","Individual",,,"IndivAiK_321","0lpB0000000PBdwIAG",,,,"2021-03-05T00:00:00.000Z","2021-11-21T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-12-26,"0lyB0000000RJL1IAO",FALSE,"Points","Number of Transactions",,,,"User55 Perf55",,,,"0lMB0000000RIJUMA4",,,,,"User55 Perf55","003B000000IXhqqIAD","Social",2020-12-26,"No","003B000000IXhqqIAD","User55 Perf55","NTO Insider","Toronto","Canada","003B000000IXhqqIAD","User55 Perf55","Ontario","Active","5.9-12 months","Individual",,,"IndivAiK_321","0lpB0000000PBdwIAG",,,,"2021-03-05T00:00:00.000Z","2021-11-21T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-10-05,"0lyB0000000RJL2IAO",FALSE,"Points","Number of Transactions",,,,"User56 Perf56",,,,"0lMB0000000RIJVMA4",,,,,"User56 Perf56","003B000000IXhqrIAD","Email",2021-10-05,"No","003B000000IXhqrIAD","User56 Perf56","NTO Insider","Toronto","Canada","003B000000IXhqrIAD","User56 Perf56","Ontario","Active","1.< 1 month","Individual",,,"IndivAiK_322","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-10-05,"0lyB0000000RJL3IAO",FALSE,"Points","Number of Transactions",,,,"User56 Perf56",,,,"0lMB0000000RIJVMA4",,,,,"User56 Perf56","003B000000IXhqrIAD","Email",2021-10-05,"No","003B000000IXhqrIAD","User56 Perf56","NTO Insider","Toronto","Canada","003B000000IXhqrIAD","User56 Perf56","Ontario","Active","1.< 1 month","Individual",,,"IndivAiK_322","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-05-06,"0lyB0000000RJL4IAO",FALSE,"Points","Number of Transactions",,,,"User57 Perf57",,,,"0lMB0000000RIJWMA4",,,,,"User57 Perf57","003B000000IXhqsIAD","Web",2021-05-06,"No","003B000000IXhqsIAD","User57 Perf57","NTO Insider","Toronto","Canada","003B000000IXhqsIAD","User57 Perf57","Ontario","Active","3.3-6 months","Individual",,,"IndivAiK_323","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-05-06,"0lyB0000000RJL5IAO",FALSE,"Points","Number of Transactions",,,,"User57 Perf57",,,,"0lMB0000000RIJWMA4",,,,,"User57 Perf57","003B000000IXhqsIAD","Web",2021-05-06,"No","003B000000IXhqsIAD","User57 Perf57","NTO Insider","Toronto","Canada","003B000000IXhqsIAD","User57 Perf57","Ontario","Active","3.3-6 months","Individual",,,"IndivAiK_323","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-03-12,"0lyB0000000RJL6IAO",FALSE,"Points","Number of Transactions",,,,"User58 Perf58",,,,"0lMB0000000RIJXMA4",,,,,"User58 Perf58","003B000000IXhqtIAD","POS",2020-03-12,"No","003B000000IXhqtIAD","User58 Perf58","NTO Insider","New York City","USA","003B000000IXhqtIAD","User58 Perf58","NY","Active","6.1-2 years","Individual",,,"IndivAiK_324","0lpB0000000PBdwIAG",,,,"2020-10-08T00:00:00.000Z","2021-10-29T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-03-12,"0lyB0000000RJL7IAO",FALSE,"Points","Number of Transactions",,,,"User58 Perf58",,,,"0lMB0000000RIJXMA4",,,,,"User58 Perf58","003B000000IXhqtIAD","POS",2020-03-12,"No","003B000000IXhqtIAD","User58 Perf58","NTO Insider","New York City","USA","003B000000IXhqtIAD","User58 Perf58","NY","Active","6.1-2 years","Individual",,,"IndivAiK_324","0lpB0000000PBdwIAG",,,,"2020-10-08T00:00:00.000Z","2021-10-29T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-11-27,"0lyB0000000RJL8IAO",FALSE,"Points","Number of Transactions",,,,"User59 Perf59",,,,"0lMB0000000RIJYMA4",,,,,"User59 Perf59","003B000000IXhquIAD","Email",2021-11-27,"No","003B000000IXhquIAD","User59 Perf59","NTO Insider","New York","USA","003B000000IXhquIAD","User59 Perf59","NY","Active","9.NA","Individual",,,"IndivAiK_325","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-11-27,"0lyB0000000RJL9IAO",FALSE,"Points","Number of Transactions",,,,"User59 Perf59",,,,"0lMB0000000RIJYMA4",,,,,"User59 Perf59","003B000000IXhquIAD","Email",2021-11-27,"No","003B000000IXhquIAD","User59 Perf59","NTO Insider","New York","USA","003B000000IXhquIAD","User59 Perf59","NY","Active","9.NA","Individual",,,"IndivAiK_325","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-04-12,"0lyB0000000RJLAIA4",FALSE,"Points","Number of Transactions",,,,"User65 Perf65",,,,"0lMB0000000RIJZMA4",,,,,"User65 Perf65","003B000000IXhqvIAD","Web",2021-04-12,"No","003B000000IXhqvIAD","User65 Perf65","NTO Insider","Toronto","Canada","003B000000IXhqvIAD","User65 Perf65","Ontario","Active","4.6-9 months","Individual",,,"IndivAiK_326","0lpB0000000PBdwIAG",,,,"2021-02-19T00:00:00.000Z","2021-03-05T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-04-12,"0lyB0000000RJLBIA4",FALSE,"Points","Number of Transactions",,,,"User65 Perf65",,,,"0lMB0000000RIJZMA4",,,,,"User65 Perf65","003B000000IXhqvIAD","Web",2021-04-12,"No","003B000000IXhqvIAD","User65 Perf65","NTO Insider","Toronto","Canada","003B000000IXhqvIAD","User65 Perf65","Ontario","Active","4.6-9 months","Individual",,,"IndivAiK_326","0lpB0000000PBdwIAG",,,,"2021-02-19T00:00:00.000Z","2021-03-05T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-06-19,"0lyB0000000RJLCIA4",FALSE,"Points","Number of Transactions",,,,"User3 Trial3",,,,"0lMB0000000RIJaMAO",,,,,"User3 Trial3","003B000000IXhqwIAD","POS",2020-06-19,"No","003B000000IXhqwIAD","User3 Trial3","NTO Insider","Toronto","Canada","003B000000IXhqwIAD","User3 Trial3","Ontario","Active","6.1-2 years","Individual",,,"IndivAiK_327","0lpB0000000PBdwIAG",,,,"2021-02-13T00:00:00.000Z","2021-06-20T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-06-19,"0lyB0000000RJLDIA4",FALSE,"Points","Number of Transactions",,,,"User3 Trial3",,,,"0lMB0000000RIJaMAO",,,,,"User3 Trial3","003B000000IXhqwIAD","POS",2020-06-19,"No","003B000000IXhqwIAD","User3 Trial3","NTO Insider","Toronto","Canada","003B000000IXhqwIAD","User3 Trial3","Ontario","Active","6.1-2 years","Individual",,,"IndivAiK_327","0lpB0000000PBdwIAG",,,,"2021-02-13T00:00:00.000Z","2021-06-20T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-08-23,"0lyB0000000RJLEIA4",FALSE,"Points","Number of Transactions",,,,"User4 Trial4",,,,"0lMB0000000RIJbMAO",,,,,"User4 Trial4","003B000000IXhqxIAD","CallCenter",2021-08-23,"No","003B000000IXhqxIAD","User4 Trial4","NTO Insider","New York City","USA","003B000000IXhqxIAD","User4 Trial4","NY","Active","2.1-3 months","Individual",,,"IndivAiK_328","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-08-23,"0lyB0000000RJLFIA4",FALSE,"Points","Number of Transactions",,,,"User4 Trial4",,,,"0lMB0000000RIJbMAO",,,,,"User4 Trial4","003B000000IXhqxIAD","CallCenter",2021-08-23,"No","003B000000IXhqxIAD","User4 Trial4","NTO Insider","New York City","USA","003B000000IXhqxIAD","User4 Trial4","NY","Active","2.1-3 months","Individual",,,"IndivAiK_328","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-03-30,"0lyB0000000RJLGIA4",FALSE,"Points","Number of Transactions",,,,"User5 Trial5",,,,"0lMB0000000RIJcMAO",,,,,"User5 Trial5","003B000000IXhqyIAD","Social",2020-03-30,"No","003B000000IXhqyIAD","User5 Trial5","NTO Insider","New York","USA","003B000000IXhqyIAD","User5 Trial5","NY","Active","6.1-2 years","Individual",,,"IndivAiK_329","0lpB0000000PBdwIAG",,,,"2020-04-02T00:00:00.000Z","2021-09-20T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-03-30,"0lyB0000000RJLHIA4",FALSE,"Points","Number of Transactions",,,,"User5 Trial5",,,,"0lMB0000000RIJcMAO",,,,,"User5 Trial5","003B000000IXhqyIAD","Social",2020-03-30,"No","003B000000IXhqyIAD","User5 Trial5","NTO Insider","New York","USA","003B000000IXhqyIAD","User5 Trial5","NY","Active","6.1-2 years","Individual",,,"IndivAiK_329","0lpB0000000PBdwIAG",,,,"2020-04-02T00:00:00.000Z","2021-09-20T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-10-17,"0lyB0000000RJLIIA4",FALSE,"Points","Number of Transactions",,,,"User6 Trial6",,,,"0lMB0000000RIJdMAO",,,,,"User6 Trial6","003B000000IXhqzIAD","Email",2021-10-17,"No","003B000000IXhqzIAD","User6 Trial6","NTO Insider","New York","USA","003B000000IXhqzIAD","User6 Trial6","NY","Active","1.< 1 month","Individual",,,"IndivAiK_330","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-10-17,"0lyB0000000RJLJIA4",FALSE,"Points","Number of Transactions",,,,"User6 Trial6",,,,"0lMB0000000RIJdMAO",,,,,"User6 Trial6","003B000000IXhqzIAD","Email",2021-10-17,"No","003B000000IXhqzIAD","User6 Trial6","NTO Insider","New York","USA","003B000000IXhqzIAD","User6 Trial6","NY","Active","1.< 1 month","Individual",,,"IndivAiK_330","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
