"OWNERUNIQUEUSERNAME","OWNERID","PRIMARYCONTACTGENDER","OWNERSTATE","AGEBUCKET","SERVICEMODEL","INVESTMENTOBJECTIVES","CREATEDDATE","OWNERCITY","STATUS","MARKETINGSEGMENT","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","BALANCEBUCKET","BILLINGSTREET","OWNERSMALLPHOTOURL","ID","INVESTMENTEXPERIENCE","BILLINGCITY","ANALYTICSDEMO_BATCH_ID_C","BILLINGSTATE","CLIENTCATEGORYCUSTOM","LastProcessedDate","LASTINTERACTION","NEXTREVIEW","PRIMARYCONTACTEMAIL","OWNERNAME","NAME","BILLINGCOUNTRY","RATING","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","OWNEREMAIL","OWNERSHIP","YEARSTARTED","PRIMARYCONTACTAGE","DAYSSINCELASTINTERACTION","YEARSSINCECLIENT","PRIMARYCONTACTANNUALINCOME"
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","2. 18-29","Tier 3","Income","2019-04-05","Florida","Active","Mass Market","2013-10-29","Individual","Manager","2. Between 50k and 250k","08078 Campbell Burg","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFdoQAF","Experienced","South Christopherchester","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-07-25","2018-04-06","user-410@fsc-demo.com","Chelsea Advisor","Zia Ashley","USA","Hot","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1892,25,28,2017,185562
"Allen Advisor","0051U000005JQyrQAG","Male","IL","4. 50-69","Tier 1","Aggressive Growth","2019-01-24","Chicago","Onboarding","Retired","2012-10-11","Person Account","Manager","1. Less than 50k","888 Campos Views","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFdpQAF","Inexperienced","Riveraburgh","20190823114923194298","NY","3 - Silver","2019-10-07","2019-03-27","2018-10-15","user-411@fsc-demo.com","Allen Advisor","Gail Vance","USA","Cool","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Other",1990,66,148,2014,85073
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","4. 50-69","Tier 2","Income","2019-03-11","Florida","Onboarding","Retired","2016-02-02","Household","Manager","2. Between 50k and 250k","01406 Jonathon Crossing","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFdqQAF","Experienced","South Matthew","20190823114923194298","NY","2 - Gold","2019-10-07","2019-04-27","2019-04-29","user-412@fsc-demo.com","Chelsea Advisor","Odette Bolton","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Other",1928,59,117,2018,216143
"Mark Garet","0051U000005KhW6QAK","Female","NY","4. 50-69","Tier 3","Growth","2018-10-27","New York","Prospect","Retired","2012-07-14","Person Account","Manager","1. Less than 50k","3402 Neal Centers","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFdrQAF","Inexperienced","Johnfurt","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-06-23","2019-08-11","user-413@fsc-demo.com","Mark Garet","Jillian Brock","USA","Cool","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1965,63,61,2017,126046
"Allen Advisor","0051U000005JQyrQAG","Male","IL","4. 50-69","Tier 2","Income","2019-05-25","Chicago","Onboarding","Millennials","2018-06-01","Individual","Manager","2. Between 50k and 250k","32359 Amy Park","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFdsQAF","Moderately Inexperienced","South Tina","20190823114923194298","CA","3 - Silver","2019-10-07","2019-07-13","2019-04-15","user-414@fsc-demo.com","Allen Advisor","Yvonne Duncan","USA","Warm","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Private",1933,54,40,2018,66399
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 2","Income","2018-09-15","New York","Active","Millennials","2015-04-05","Person Account","Manager","2. Between 50k and 250k","8699 Beck Run","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFdtQAF","Moderately Experienced","Johnville","20190823114923194298","CA","5 - Standard","2019-10-07","2019-04-28","2018-08-12","user-415@fsc-demo.com","Mark Garet","Sybill Ayala","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1976,63,116,2016,225567
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 1","Income","2018-11-24","San Francisco","Onboarding","Retired","2019-01-18","Person Account","Manager","1. Less than 50k","4115 Austin Hills","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFduQAF","Moderately Experienced","South Nathan","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-07-24","2018-09-25","user-416@fsc-demo.com","Brenda Banker","Heather Mueller","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1941,33,30,2019,125421
"Mark Garet","0051U000005KhW6QAK","Male","NY","3. 30-49","Tier 1","Aggressive Growth","2019-05-10","New York","Active","Retired","2016-04-03","Individual","Manager","2. Between 50k and 250k","8883 James Plaza","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFdvQAF","Moderately Experienced","Alexandermouth","20190823114923194298","CA","5 - Standard","2019-10-07","2019-07-12","2019-05-21","user-417@fsc-demo.com","Mark Garet","Lacota Kramer","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1904,49,41,2016,52558
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 3","Balanced Growth","2018-06-16","Florida","Active","Affluent Professionals","2016-11-28","Person Account","Manager","2. Between 50k and 250k","5978 Crystal Station","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFdwQAF","Moderately Experienced","East Angelashire","20190823114923194298","CA","3 - Silver","2019-10-07","2018-12-05","2019-06-19","user-418@fsc-demo.com","Chelsea Advisor","Cailin Rodgers","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1891,58,260,2018,96474
"Brenda Banker","0051U000005L4E9QAK","Female","CA","4. 50-69","Tier 1","Growth","2018-08-24","San Francisco","Active","Mass Market","2011-11-07","Person Account","Manager","1. Less than 50k","68797 Smith Neck","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFdxQAF","Experienced","East Ruben","20190823114923194298","CA","5 - Standard","2019-10-07","2018-10-04","2019-06-02","user-419@fsc-demo.com","Brenda Banker","Tatiana Crane","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1937,65,322,2014,77715
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","3. 30-49","Tier 3","Balanced Growth","2019-04-02","Florida","Active","Affluent Professionals","2011-01-16","Individual","Manager","1. Less than 50k","42291 Williams Mission","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFdyQAF","Moderately Experienced","Millerview","20190823114923194298","CA","5 - Standard","2019-10-07","2019-07-25","2019-04-04","user-420@fsc-demo.com","Chelsea Advisor","Ayanna Gilmore","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Public",2003,31,28,2012,192096
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","4. 50-69","Tier 2","Balanced Growth","2019-04-30","Florida","Active","Mass Market","2017-06-05","Person Account","Manager","2. Between 50k and 250k","05645 Ryan Roads","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFdzQAF","Moderately Experienced","Lake Margaret","20190823114923194298","CA","2 - Gold","2019-10-07","2019-06-21","2018-05-26","user-421@fsc-demo.com","Chelsea Advisor","Macy Clark","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",2002,56,63,2018,73365
"Allen Advisor","0051U000005JQyrQAG","Female","IL","2. 18-29","Tier 3","Income","2019-01-31","Chicago","Prospect","Affluent Professionals","2015-03-15","Individual","Manager","1. Less than 50k","0868 Benson Shores","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFe0QAF","Moderately Inexperienced","Flemingland","20190823114923194298","CA","2 - Gold","2019-10-07","2019-08-06","2018-03-19","user-422@fsc-demo.com","Allen Advisor","Amir Vargas","USA","Hot","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Other",1904,25,16,2019,106556
"Brenda Banker","0051U000005L4E9QAK","Female","CA","2. 18-29","Tier 1","Balanced Growth","2018-10-11","San Francisco","Active","Retired","2013-03-30","Individual","Manager","1. Less than 50k","663 Tiffany Hills","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFe1QAF","Moderately Inexperienced","Kyliestad","20190823114923194298","CA","5 - Standard","2019-10-07","2018-12-23","2018-04-13","user-423@fsc-demo.com","Brenda Banker","Dante Nash","USA","Cool","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1977,28,242,2015,180401
"Brenda Banker","0051U000005L4E9QAK","Female","CA","3. 30-49","Tier 3","Income","2018-06-11","San Francisco","Onboarding","Affluent Professionals","2019-05-15","Person Account","Manager","2. Between 50k and 250k","184 Nichols Grove","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFe2QAF","Inexperienced","Migueltown","20190823114923194298","CA","3 - Silver","2019-10-07","2018-12-14","2018-10-13","user-424@fsc-demo.com","Brenda Banker","Nicholas Franco","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1886,38,252,2019,194496
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","2. 18-29","Tier 1","Growth","2019-06-15","Florida","Prospect","High Net Worth Families","2019-01-24","Household","Manager","2. Between 50k and 250k","145 James Drive","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFe3QAF","Moderately Experienced","East Antonio","20190823114923194298","NY","5 - Standard","2019-10-07","2019-06-27","2018-10-15","user-425@fsc-demo.com","Chelsea Advisor","Ima Mathews","USA","Hot","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1903,22,57,2019,68582
"Mark Garet","0051U000005KhW6QAK","Female","NY","3. 30-49","Tier 1","Growth","2019-08-14","New York","Active","Millennials","2013-06-17","Person Account","Manager","1. Less than 50k","43806 Duffy Curve","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFe4QAF","Moderately Experienced","Johnsonview","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-08-22","2018-11-03","user-426@fsc-demo.com","Mark Garet","Lavinia Reid","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Other",1915,44,0,2017,222581
"Brenda Banker","0051U000005L4E9QAK","Female","CA","4. 50-69","Tier 2","Growth","2018-09-13","San Francisco","Active","Retired","2018-12-15","Individual","Manager","2. Between 50k and 250k","0953 Michelle Isle","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFe5QAF","Moderately Inexperienced","West Danielhaven","20190823114923194298","NY","2 - Gold","2019-10-07","2019-08-17","2018-03-20","user-427@fsc-demo.com","Brenda Banker","Cruz Nolan","USA","Hot","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Other",1896,58,5,2019,63342
"Allen Advisor","0051U000005JQyrQAG","Female","IL","4. 50-69","Tier 3","Aggressive Growth","2018-03-18","Chicago","Active","Mass Market","2010-08-11","Household","Manager","2. Between 50k and 250k","667 Mclaughlin Way","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFe6QAF","Moderately Experienced","Alexandermouth","20190823114923194298","FL","3 - Silver","2019-10-07","2018-10-15","2018-03-06","user-428@fsc-demo.com","Allen Advisor","Evelyn Davidson","USA","Cool","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Private",1987,56,312,2015,126476
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","5. > 69","Tier 2","Aggressive Growth","2018-04-28","Florida","Active","High Net Worth Families","2015-09-18","Person Account","Manager","1. Less than 50k","166 Brian Roads","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFe7QAF","Inexperienced","New Michelle","20190823114923194298","NY","2 - Gold","2019-10-07","2019-01-26","2019-05-04","user-429@fsc-demo.com","Chelsea Advisor","Bradley Ashley","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Public",2005,70,209,2015,249850
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 3","Growth","2018-04-05","San Francisco","Active","Retired","2019-08-15","Person Account","Manager","2. Between 50k and 250k","560 Hector Branch","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFe8QAF","Moderately Experienced","Ruizberg","20190823114923194298","CA","3 - Silver","2019-10-07","2019-04-25","2018-09-24","user-430@fsc-demo.com","Brenda Banker","Walker Rivas","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Other",1984,39,120,2019,133142
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","2. 18-29","Tier 1","Income","2018-10-03","Florida","Onboarding","Mass Market","2010-05-08","Household","Manager","1. Less than 50k","78809 Morris Center","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFe9QAF","Inexperienced","West Derekchester","20190823114923194298","CA","2 - Gold","2019-10-07","2019-01-19","2019-04-07","user-431@fsc-demo.com","Chelsea Advisor","Lars Coleman","USA","Hot","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1944,29,216,2015,244881
"Allen Advisor","0051U000005JQyrQAG","Male","IL","4. 50-69","Tier 3","Income","2018-03-01","Chicago","Prospect","Retired","2009-12-21","Person Account","Manager","1. Less than 50k","992 Herrera Mount","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFeAQAV","Moderately Experienced","East Aprilville","20190823114923194298","CA","1 - Platinum","2019-10-07","2018-09-03","2018-10-25","user-432@fsc-demo.com","Allen Advisor","Tashya Savage","USA","Hot","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Other",1938,66,353,2019,62150
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 2","Aggressive Growth","2018-12-06","Florida","Active","Millennials","2016-07-31","Individual","Manager","2. Between 50k and 250k","45053 Bird Squares","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFeBQAV","Moderately Inexperienced","South Brianmouth","20190823114923194298","NY","5 - Standard","2019-10-07","2019-03-25","2019-08-04","user-433@fsc-demo.com","Chelsea Advisor","Ezra Velazquez","USA","Cool","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",1969,67,150,2019,94695
"Allen Advisor","0051U000005JQyrQAG","Female","IL","5. > 69","Tier 1","Growth","2018-12-23","Chicago","Onboarding","Millennials","2018-02-23","Person Account","Manager","1. Less than 50k","30551 Kelly Gardens","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFeCQAV","Inexperienced","Sheltonstad","20190823114923194298","NY","2 - Gold","2019-10-07","2019-03-28","2018-11-25","user-434@fsc-demo.com","Allen Advisor","Allegra Marks","USA","Hot","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Private",1927,76,148,2018,149550
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 1","Balanced Growth","2018-09-03","New York","Active","Affluent Professionals","2012-04-28","Person Account","Manager","1. Less than 50k","9434 William Lane","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeDQAV","Moderately Experienced","Reedshire","20190823114923194298","CA","5 - Standard","2019-10-07","2018-12-16","2018-07-23","user-435@fsc-demo.com","Mark Garet","Veronica Hughes","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Other",1978,26,249,2012,216521
"Brenda Banker","0051U000005L4E9QAK","Male","CA","4. 50-69","Tier 1","Income","2019-07-20","San Francisco","Active","High Net Worth Families","2014-01-21","Person Account","Manager","1. Less than 50k","719 Matthew Drives","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFeEQAV","Moderately Experienced","Karenport","20190823114923194298","NY","3 - Silver","2019-10-07","2019-08-08","2018-04-24","user-436@fsc-demo.com","Brenda Banker","Dexter Mcconnell","USA","Cool","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Other",1946,58,15,2018,148348
"Brenda Banker","0051U000005L4E9QAK","Male","CA","2. 18-29","Tier 1","Growth","2018-07-22","San Francisco","Active","Affluent Professionals","2015-03-11","Individual","Manager","2. Between 50k and 250k","15119 Williams Crescent","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFeFQAV","Moderately Inexperienced","Hunterview","20190823114923194298","CA","3 - Silver","2019-10-07","2018-09-18","2019-07-26","user-437@fsc-demo.com","Brenda Banker","Valentine Donaldson","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1954,23,339,2016,141612
"Allen Advisor","0051U000005JQyrQAG","Male","IL","3. 30-49","Tier 1","Growth","2018-07-07","Chicago","Prospect","High Net Worth Families","2011-05-04","Person Account","Manager","1. Less than 50k","4966 Terry Walks","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFeGQAV","Moderately Experienced","Smithborough","20190823114923194298","NY","5 - Standard","2019-10-07","2018-12-31","2018-05-13","user-438@fsc-demo.com","Allen Advisor","Janna Fowler","USA","Cool","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Subsidiary",1897,40,235,2015,89657
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 1","Aggressive Growth","2018-07-14","Florida","Onboarding","High Net Worth Families","2010-01-07","Household","Manager","2. Between 50k and 250k","008 Katelyn Squares","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFeHQAV","Moderately Inexperienced","Hensonport","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-01-26","2019-03-12","user-439@fsc-demo.com","Chelsea Advisor","Alisa Hunt","USA","Cool","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Public",1883,46,208,2013,232337
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 1","Balanced Growth","2019-05-23","Florida","Active","Retired","2014-08-31","Individual","Manager","1. Less than 50k","0571 King Common","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFeIQAV","Experienced","South Hunterbury","20190823114923194298","CA","2 - Gold","2019-10-07","2019-06-25","2019-02-09","user-440@fsc-demo.com","Chelsea Advisor","Solomon Meyers","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Public",1995,66,59,2017,85444
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 1","Income","2019-01-18","Florida","Active","Mass Market","2014-05-16","Individual","Manager","1. Less than 50k","463 Copeland Brook","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFeJQAV","Inexperienced","Aliciaview","20190823114923194298","NY","2 - Gold","2019-10-07","2019-06-20","2018-11-16","user-441@fsc-demo.com","Chelsea Advisor","Bryar Cameron","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1902,34,63,2018,209067
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 1","Growth","2019-08-10","Florida","Active","Affluent Professionals","2019-02-14","Person Account","Manager","2. Between 50k and 250k","770 Mason Mall","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFeKQAV","Moderately Experienced","Parksfurt","20190823114923194298","CA","2 - Gold","2019-10-07","2019-08-11","2019-08-22","user-442@fsc-demo.com","Chelsea Advisor","Signe Bradford","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Subsidiary",1894,65,12,2019,116161
"Mark Garet","0051U000005KhW6QAK","Male","NY","3. 30-49","Tier 1","Growth","2018-10-15","New York","Active","Mass Market","2016-03-17","Person Account","Manager","2. Between 50k and 250k","6008 Wright Prairie","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeLQAV","Inexperienced","East Leslie","20190823114923194298","CA","5 - Standard","2019-10-07","2019-07-29","2019-03-21","user-443@fsc-demo.com","Mark Garet","Chava Meyer","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Other",1971,44,24,2017,52563
"Brenda Banker","0051U000005L4E9QAK","Male","CA","2. 18-29","Tier 2","Growth","2018-03-22","San Francisco","Active","Retired","2015-03-24","Person Account","Manager","2. Between 50k and 250k","087 Dillon Wall","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFeMQAV","Moderately Experienced","East Mary","20190823114923194298","NJ","1 - Platinum","2019-10-07","2018-12-03","2018-06-14","user-444@fsc-demo.com","Brenda Banker","Mason Grimes","USA","Cool","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Public",1913,23,262,2017,198401
"Allen Advisor","0051U000005JQyrQAG","Female","IL","5. > 69","Tier 1","Balanced Growth","2019-03-03","Chicago","Onboarding","Affluent Professionals","2017-04-02","Household","Manager","1. Less than 50k","621 Hanna Ports","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFeNQAV","Experienced","Victoriaberg","20190823114923194298","CA","3 - Silver","2019-10-07","2019-06-23","2019-08-17","user-445@fsc-demo.com","Allen Advisor","Vance Ewing","USA","Hot","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Other",1941,70,61,2019,177274
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 3","Aggressive Growth","2019-05-30","Florida","Active","Retired","2016-10-05","Individual","Manager","1. Less than 50k","7758 Sandoval Flat","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFeOQAV","Experienced","Port Tracyview","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-07-12","2019-02-07","user-446@fsc-demo.com","Chelsea Advisor","Raja Bernard","USA","Warm","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Subsidiary",1983,38,41,2018,153270
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 3","Aggressive Growth","2018-06-10","New York","Active","Affluent Professionals","2010-12-11","Person Account","Manager","1. Less than 50k","33794 Patrick Orchard","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFePQAV","Moderately Inexperienced","Freemanhaven","20190823114923194298","NY","5 - Standard","2019-10-07","2018-06-22","2019-03-22","user-447@fsc-demo.com","Mark Garet","Riley Nunez","USA","Warm","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Other",1949,56,426,2019,156931
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 1","Income","2018-03-12","New York","Active","High Net Worth Families","2014-12-06","Household","Manager","1. Less than 50k","707 Shelton Freeway","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeQQAV","Experienced","New Michaelfurt","20190823114923194298","CA","5 - Standard","2019-10-07","2019-06-21","2018-03-15","user-448@fsc-demo.com","Mark Garet","Ursa Moreno","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1971,61,62,2017,148789
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 2","Balanced Growth","2018-09-05","New York","Onboarding","Retired","2015-04-25","Person Account","Manager","2. Between 50k and 250k","373 Rodriguez Harbor","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeRQAV","Moderately Experienced","Jeffreystad","20190823114923194298","NJ","2 - Gold","2019-10-07","2019-03-27","2018-07-11","user-449@fsc-demo.com","Mark Garet","Francesca Walton","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Subsidiary",2005,66,149,2017,202510
"Mark Garet","0051U000005KhW6QAK","Female","NY","4. 50-69","Tier 3","Income","2019-07-29","New York","Active","Millennials","2018-09-06","Household","Manager","2. Between 50k and 250k","350 Wallace Island","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeSQAV","Moderately Experienced","Owenside","20190823114923194298","IL","1 - Platinum","2019-10-07","2019-08-19","2018-04-30","user-450@fsc-demo.com","Mark Garet","Hedy Barber","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1881,59,3,2018,91949
"Mark Garet","0051U000005KhW6QAK","Female","NY","4. 50-69","Tier 1","Income","2018-06-22","New York","Active","Millennials","2018-03-24","Household","Manager","2. Between 50k and 250k","3247 Gonzalez Grove","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeTQAV","Moderately Inexperienced","New Travis","20190823114923194298","CA","1 - Platinum","2019-10-07","2018-06-23","2018-11-20","user-451@fsc-demo.com","Mark Garet","Keaton Alvarez","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1948,63,425,2018,205288
"Mark Garet","0051U000005KhW6QAK","Male","NY","3. 30-49","Tier 2","Aggressive Growth","2019-03-15","New York","Active","Millennials","2011-07-07","Person Account","Manager","2. Between 50k and 250k","810 Denise Way","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFeUQAV","Inexperienced","Wilsonfort","20190823114923194298","NY","5 - Standard","2019-10-07","2019-04-17","2018-11-25","user-452@fsc-demo.com","Mark Garet","Troy Stanton","USA","Warm","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Subsidiary",1958,49,127,2019,193071
"Allen Advisor","0051U000005JQyrQAG","Female","IL","3. 30-49","Tier 3","Aggressive Growth","2018-04-15","Chicago","Active","Retired","2016-07-10","Individual","Manager","1. Less than 50k","337 Kyle Underpass","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFeVQAV","Moderately Experienced","Allenhaven","20190823114923194298","CA","2 - Gold","2019-10-07","2018-12-24","2018-05-15","user-453@fsc-demo.com","Allen Advisor","Oliver Doyle","USA","Warm","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Other",1974,47,241,2019,191726
"Brenda Banker","0051U000005L4E9QAK","Male","CA","4. 50-69","Tier 1","Income","2019-05-02","San Francisco","Active","Millennials","2017-05-27","Individual","Manager","2. Between 50k and 250k","97796 Rodriguez Crossing","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFeWQAV","Moderately Inexperienced","Samuelborough","20190823114923194298","CA","2 - Gold","2019-10-07","2019-06-27","2019-05-31","user-454@fsc-demo.com","Brenda Banker","Jonah Reid","USA","Hot","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Public",1928,51,57,2017,103282
