"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL","DueDays"
"Allen Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-07-05","High","2019-11-20","Chicago","In progress","-","Manager","Call","0011U00000KuFgLQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-28","Other","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Sierra Ryan","Experienced","2020-07-06","High Net Worth Families","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com",309
"Allen Advisor","true","0051U000005JQyrQAG","Individual","Customer","IL","2020-06-11","High","2019-05-07","Chicago","Completed","-","Manager","Call","0011U00000KuFgOQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-04","Meeting","2.01908291351258E+019","Balanced Growth","Service","Call","Carter Weber","Moderately Experienced","2020-07-06","Retired","Allen Advisor","2. Between 50k and 250k","Event","Discussion","allen.advisor@example.com",333
"Allen Advisor","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-07-04","High","2020-03-28","Florida","Not Started","-","Manager","Call","0011U00000KuFgPQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-27","Email","2.01908291351258E+019","Income","Client Retention","Call","Chloe Roach","Inexperienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Send Birthday Gift","ryan.dobson@example.com",310
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-07-03","High","2019-09-19","New York","Event","-","Manager","Call","0011U00000KuFgQQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-26","Email","2.01908291351258E+019","Growth","Client Retention","Call","Noble Bowen","Inexperienced","2020-07-06","Millennials","Mark Garet","1. Less than 50k","Event","Discussion","mark.garet@example.com",311
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-14","High","2019-03-03","Florida","Completed","-","Manager","Call","0011U00000KuFgTQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-07","Call","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Keegan Chang","Inexperienced","2020-07-06","Affluent Professionals","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",330
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-26","High","2020-04-19","New York","Event","-","Manager","Call","0011U00000KuFgUQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-19","Email","2.01908291351258E+019","Growth","Client Retention","Call","Orson Spencer","Moderately Experienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com",318
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-24","High","2019-02-18","San Francisco","Event","-","Manager","Call","0011U00000KuFgXQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-17","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Timothy Sargent","Moderately Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Send Birthday Gift","sunil.dixit@example.com",320
"Chelsea Advisor","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-30","High","2019-07-17","San Francisco","Completed","-","Manager","Call","0011U00000KuFgYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-23","Email","2.01908291351258E+019","Income","Onboarding","Call","Shafira Mcguire","Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",314
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-10","High","2020-04-11","San Francisco","In progress","-","Manager","Call","0011U00000KuFgaQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-03","Email","2.01908291351258E+019","Growth","Onboarding","Call","Alvin England","Moderately Experienced","2020-07-06","Mass Market","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com",334
"Mark Garet","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-21","High","2019-05-14","Florida","Completed","-","Manager","Call","0011U00000KuFgbQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-14","Call","2.01908291351258E+019","Income","Service","Call","Mercedes Wilcox","Inexperienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com",323
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-13","High","2019-04-06","New York","Event","-","Manager","Call","0011U00000KuFgdQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-06","Call","2.01908291351258E+019","Aggressive Growth","Service","Call","Sybil Bush","Moderately Experienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",331
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-20","High","2019-08-28","Florida","Not Started","-","Manager","Call","0011U00000KuFgfQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-13","Meeting","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Craig French","Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com",324
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-13","High","2020-02-09","San Francisco","Completed","-","Manager","Call","0011U00000KuFggQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-06","Email","2.01908291351258E+019","Income","Service","Call","Vance Hinton","Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",331
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-06","High","2019-05-12","San Francisco","Event","-","Manager","Call","0011U00000KuFgiQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-07-30","Other","2.01908291351258E+019","Growth","Client Retention","Call","Adam Ingram","Moderately Inexperienced","2020-07-06","Retired","Brenda Banker","1. Less than 50k","Event","Summit","sunil.dixit@example.com",338
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-20","High","2019-05-06","Florida","Not Started","-","Manager","Call","0011U00000KuFgjQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-13","Meeting","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Wallace Warner","Moderately Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com",324
"Chelsea Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-08","High","2020-04-02","Chicago","Completed","-","Manager","Call","0011U00000KuFgkQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-01","Call","2.01908291351258E+019","Growth","Service","Call","Madaline Bentley","Inexperienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","allen.advisor@example.com",336
"Brenda Banker","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-19","High","2019-05-02","San Francisco","Not Started","-","Manager","Call","0011U00000KuFglQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-12","Other","2.01908291351258E+019","Income","Onboarding","Call","Libby Faulkner","Moderately Inexperienced","2020-07-06","Retired","Brenda Banker","2. Between 50k and 250k","Event","Discussion","sunil.dixit@example.com",325
"Mark Garet","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-10","High","2019-10-12","New York","In progress","-","Manager","Call","0011U00000KuFgmQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-03","Meeting","2.01908291351258E+019","Income","Prospecting","Call","Leslie Moreno","Moderately Inexperienced","2020-07-06","Affluent Professionals","Mark Garet","1. Less than 50k","Event","Sync Up","mark.garet@example.com",334
"Chelsea Advisor","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-06-18","High","2019-09-14","New York","Not Started","-","Manager","Call","0011U00000KuFgoQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-11","Other","2.01908291351258E+019","Balanced Growth","Service","Call","Dale Rios","Moderately Inexperienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",326
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-17","High","2019-12-12","Florida","Event","-","Manager","Call","0011U00000KuFgpQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Email","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Idona Holden","Moderately Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",327
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-07-04","High","2019-07-10","San Francisco","In progress","-","Manager","Call","0011U00000KuFgrQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-27","Email","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Wyatt Swanson","Experienced","2020-07-06","Millennials","Brenda Banker","1. Less than 50k","Event","Lunch Meeting","sunil.dixit@example.com",310
"Chelsea Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-15","High","2019-05-06","San Francisco","Completed","-","Manager","Call","0011U00000KuFgsQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-08","Email","2.01908291351258E+019","Income","Onboarding","Call","Moana Allison","Moderately Experienced","2020-07-06","Mass Market","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",329
"Brenda Banker","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-25","High","2019-02-24","San Francisco","Event","-","Manager","Call","0011U00000KuFgtQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-18","Other","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Hannah Francis","Moderately Experienced","2020-07-06","Millennials","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",319
"Mark Garet","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-25","High","2019-09-27","New York","Not Started","-","Manager","Call","0011U00000KuFguQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-18","Call","2.01908291351258E+019","Balanced Growth","Service","Call","Hayden Daniel","Inexperienced","2020-07-06","High Net Worth Families","Mark Garet","2. Between 50k and 250k","Event","Send Birthday Gift","mark.garet@example.com",319
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-08","High","2019-12-01","San Francisco","In progress","-","Manager","Call","0011U00000KuFgvQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-01","Meeting","2.01908291351258E+019","Balanced Growth","Service","Call","Dalton Nixon","Moderately Inexperienced","2020-07-06","Mass Market","Brenda Banker","1. Less than 50k","Event","Sync Up","sunil.dixit@example.com",336
"Allen Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-10","High","2020-01-14","New York","Completed","-","Manager","Call","0011U00000KuFgxQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-03","Other","2.01908291351258E+019","Aggressive Growth","Service","Call","Zelda Dillard","Inexperienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Send Birthday Gift","mark.garet@example.com",334
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-07-05","High","2019-01-19","Florida","In progress","-","Manager","Call","0011U00000KuFgyQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-28","Meeting","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Regina Boone","Moderately Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",309
"Chelsea Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2020-07-03","High","2019-01-27","Chicago","Completed","-","Manager","Call","0011U00000KuFgzQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-26","Email","2.01908291351258E+019","Growth","Onboarding","Call","Sheila English","Experienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Lunch Meeting","allen.advisor@example.com",311
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-30","High","2019-05-24","San Francisco","In progress","-","Manager","Call","0011U00000KuFh1QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-23","Call","2.01908291351258E+019","Growth","Client Retention","Call","Uriah Quinn","Moderately Inexperienced","2020-07-06","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",314
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-28","High","2020-01-28","Florida","In progress","-","Manager","Call","0011U00000KuFh2QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-21","Email","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Dominic Houston","Moderately Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Sync Up","ryan.dobson@example.com",316
"Chelsea Advisor","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-07","High","2019-01-21","Florida","In progress","-","Manager","Call","0011U00000KuFh3QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-31","Call","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Cameron Edwards","Experienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com",337
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-13","High","2020-05-18","San Francisco","In progress","-","Manager","Call","0011U00000KuFh4QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-06","Email","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Kelsey Alvarez","Inexperienced","2020-07-06","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com",331
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-29","High","2020-04-16","New York","Completed","-","Manager","Call","0011U00000KuFh5QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-22","Meeting","2.01908291351258E+019","Growth","Onboarding","Call","Carolyn Levy","Moderately Experienced","2020-07-06","Millennials","Mark Garet","2. Between 50k and 250k","Event","Discussion","mark.garet@example.com",315
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-09","High","2020-06-04","Chicago","Not Started","-","Manager","Call","0011U00000KuFh6QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-02","Other","2.01908291351258E+019","Aggressive Growth","Service","Call","Slade Reeves","Moderately Inexperienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com",335
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-08","High","2019-07-28","New York","Not Started","-","Manager","Call","0011U00000KuFh7QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-01","Call","2.01908291351258E+019","Growth","Onboarding","Call","Signe Wyatt","Moderately Inexperienced","2020-07-06","Millennials","Mark Garet","1. Less than 50k","Event","Lunch Meeting","mark.garet@example.com",336
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-23","High","2019-11-23","Florida","Event","-","Manager","Call","0011U00000KuFh8QAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-16","Meeting","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Julian Ellison","Moderately Experienced","2020-07-06","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com",321
"Allen Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-20","High","2020-01-24","Chicago","Event","-","Manager","Call","0011U00000KuFhAQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-13","Call","2.01908291351258E+019","Growth","Prospecting","Call","Lee Ayers","Experienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com",324
"Brenda Banker","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-08","High","2019-08-20","San Francisco","Event","-","Manager","Call","0011U00000KuFhBQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-01","Other","2.01908291351258E+019","Growth","Service","Call","Leilani Crawford","Moderately Experienced","2020-07-06","Mass Market","Brenda Banker","1. Less than 50k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",336
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-10","High","2019-05-04","San Francisco","Event","-","Manager","Call","0011U00000KuFhCQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-03","Other","2.01908291351258E+019","Income","Client Retention","Call","Sydnee Farrell","Moderately Inexperienced","2020-07-06","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com",334
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-07-05","High","2019-08-04","San Francisco","Not Started","-","Manager","Call","0011U00000KuFhDQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-28","Other","2.01908291351258E+019","Growth","Onboarding","Call","Robert Rowland","Moderately Experienced","2020-07-06","Millennials","Brenda Banker","2. Between 50k and 250k","Event","Lunch Meeting","sunil.dixit@example.com",309
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-21","High","2019-12-09","San Francisco","Event","-","Manager","Call","0011U00000KuFhGQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-14","Meeting","2.01908291351258E+019","Income","Service","Call","Yolanda Donaldson","Moderately Experienced","2020-07-06","Retired","Brenda Banker","2. Between 50k and 250k","Event","Discussion","sunil.dixit@example.com",323
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-20","High","2019-11-15","Florida","In progress","-","Manager","Call","0011U00000KuFhHQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-13","Other","2.01908291351258E+019","Income","Prospecting","Call","Hedy Sanders","Moderately Inexperienced","2020-07-06","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com",324
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-28","High","2019-01-19","New York","Event","-","Manager","Call","0011U00000KuFhIQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-21","Meeting","2.01908291351258E+019","Income","Prospecting","Call","Abra Sosa","Experienced","2020-07-06","Retired","Mark Garet","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","mark.garet@example.com",316
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-10","High","2019-03-01","San Francisco","Not Started","-","Manager","Call","0011U00000KuFhJQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-03","Other","2.01908291351258E+019","Aggressive Growth","Service","Call","Audra Mason","Moderately Experienced","2020-07-06","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Quarterly Earnings Summary","sunil.dixit@example.com",334
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-19","High","2020-06-15","San Francisco","Not Started","-","Manager","Call","0011U00000KuFhLQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-12","Email","2.01908291351258E+019","Growth","Onboarding","Call","Daniel Watkins","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",325
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-12","High","2019-08-03","Chicago","Completed","-","Manager","Call","0011U00000KuFhNQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-05","Call","2.01908291351258E+019","Income","Prospecting","Call","Tate Ochoa","Moderately Inexperienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com",332
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-19","High","2019-06-21","Florida","Not Started","-","Manager","Call","0011U00000KuFhOQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-12","Other","2.01908291351258E+019","Growth","Prospecting","Call","Alec Sears","Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com",325
"Allen Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-16","High","2020-05-07","Chicago","Completed","-","Manager","Call","0011U00000KuFhPQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-09","Other","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Xavier Roberson","Inexperienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Summit","allen.advisor@example.com",328
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-18","High","2020-04-17","Chicago","Event","-","Manager","Call","0011U00000KuFhQQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-11","Meeting","2.01908291351258E+019","Growth","Client Retention","Call","Baxter Rowe","Experienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","allen.advisor@example.com",326
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-07-01","High","2019-01-29","Chicago","In progress","-","Manager","Call","0011U00000KuFhRQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-24","Other","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Owen Morton","Experienced","2020-07-06","Millennials","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com",313
"Brenda Banker","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-20","High","2020-03-21","New York","Event","-","Manager","Call","0011U00000KuFhUQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-13","Call","2.01908291351258E+019","Income","Client Retention","Call","Fletcher Becker","Experienced","2020-07-06","Affluent Professionals","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com",324
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-29","High","2020-06-16","San Francisco","Event","-","Manager","Call","0011U00000KuFhVQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-22","Email","2.01908291351258E+019","Growth","Service","Call","Jarrod Ellis","Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com",315
"Mark Garet","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-18","High","2019-02-01","Florida","Event","-","Manager","Call","0011U00000KuFhWQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-11","Other","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Karen Huffman","Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com",326
"Allen Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-17","High","2019-09-02","Chicago","Event","-","Manager","Call","0011U00000KuFhZQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Email","2.01908291351258E+019","Growth","Service","Call","Fiona Moss","Inexperienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com",327
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-10","High","2019-07-09","New York","Not Started","-","Manager","Call","0011U00000KuFhaQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-03","Meeting","2.01908291351258E+019","Income","Onboarding","Call","Ann Kaufman","Moderately Experienced","2020-07-06","Millennials","Mark Garet","1. Less than 50k","Event","Send Birthday Gift","mark.garet@example.com",334
"Allen Advisor","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-07-01","High","2019-01-30","Florida","In progress","-","Manager","Call","0011U00000KuFhbQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-24","Meeting","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Shelby Wiley","Moderately Inexperienced","2020-07-06","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",313
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-27","High","2020-01-10","Chicago","Event","-","Manager","Call","0011U00000KuFhcQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-20","Call","2.01908291351258E+019","Income","Prospecting","Call","Arsenio Wade","Moderately Experienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","allen.advisor@example.com",317
"Mark Garet","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-07-02","High","2019-09-28","New York","Event","-","Manager","Call","0011U00000KuFhdQAF","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-25","Meeting","2.01908291351258E+019","Income","Onboarding","Call","Xavier Vargas","Moderately Experienced","2020-07-06","Affluent Professionals","Mark Garet","1. Less than 50k","Event","Quarterly Earnings Summary","mark.garet@example.com",312
